id,appTitle,userName,date,score,text,fileDate,fileCategories,contentRating,appId,reviewId,processed_text,label_UE,label_BR,label_FR,label_R
804084,PBS KIDS Video,A Google User,15-Aug-17,5,"It,s great gots lot of show it,s great 5  stars",2019-04-14,EDUCATION,Everyone,org.pbskids.video,1333153,"It's great, got lots of shows, 5 stars",0,0,0,1
869576,IRS2Go,A Google User,23-Mar-15,5,Teacher Used the app to check on the status of my return. Information was received and processed quickly. I received my money exactly a week after filing.,2019-03-24,FINANCE,Everyone,gov.irs,1436222,Teacher Used the app to check on the status of my return. Information was received and processed quickly. I received my money exactly a week after filing.,1,0,0,0
425433,Google Play Games,,19-Mar-19,1,It was enjoyable and educative a good one.,2019-03-24,ENTERTAINMENT,Teen,com.google.android.play.games,726513,It was enjoyable and educative a good one.,0,0,0,1
855228,Venmo Mobile Wallet: Send & Receive Money,Linda Logan,05-Mar-19,5,great way to send or receive money,2019-03-08,FINANCE,Everyone,com.venmo,1414907,great way to send or receive money,0,0,0,1
1010397,Love Poly - New puzzle game,Valerie P,10-Mar-19,2,the amount of ads is ridiculous.,2019-04-01,FAMILY,Everyone,com.love.poly.puzzle.game,1653018,the amount of ads is ridiculous.,0,0,0,1
371997,Ms.Sibyl - See Future Me,A Google User,12-Mar-19,1,you can't do anything without having to pay 25 dollars a month! I only gave this app 1 star.,2019-04-21,LIFESTYLE,Everyone,com.ghost.sibyl,622804,you can't do anything without having to pay 25 dollars a month! I only gave this app 1 star.,0,0,0,1
329345,Family Locator - GPS Tracker,,17-Mar-19,5,its very awsome it works try it if you got kids with phones. #love this app!!!! just enter the your google account and your in!!!!!!!!!!!,2019-03-24,LIFESTYLE,Everyone,com.life360.android.safetymapd,552731,its very awsome it works try it if you got kids with phones. #love this app!!!! just enter the your google account and your in!!!!!!!!!!!,0,0,0,1
501654,Roku,stephen kirkley,08-Mar-19,5,"App is wonderful. Few complaints about the hardware. Get newer hardware, and tv remote doesn't power on/off.",2019-03-24,ENTERTAINMENT,Teen,com.roku.remote,858323,"App is wonderful. Few complaints about the hardware. Get newer hardware, and tv remote doesn't power on/off.",0,0,1,1
39450,Sweatcoin Pays You To Get Fit,A Google User,03-Mar-19,1,i don't trust this,2019-04-21,FITNESS,Everyone,in.sweatco.app,51284,i don't trust this,0,0,0,1
49400,Samsung Health,Patrick,20-Feb-19,1,Unreliable! cannot find samsung wearable when connected by bluetooth to a samsung phone thats found by Galaxy Wearable app so its working. reset/reinstall dont help.,2019-03-16,FITNESS,Everyone,com.sec.android.app.shealth,67380,Unreliable! cannot find samsung wearable when connected by bluetooth to a samsung phone thats found by Galaxy Wearable app so its working. reset/reinstall dont help.,0,1,0,0
989583,Fresh EBT - Food Stamp Balance,Janice Slaughter,27-Feb-19,1,want let me download the app cant get it all,2019-04-07,FINANCE,Everyone,com.propel.ebenefits,1617401,want let me download the app cant get it all,0,1,0,0
467257,Tubi - Free Movies & TV Shows,"arlen sauer,Sr",20-Mar-19,5,I have very good experience with tubi I really do appreciate them,2019-03-24,ENTERTAINMENT,Teen,com.tubitv,803060,I have very good experience with tubi I really do appreciate them,0,0,0,1
582627,Amazon Alexa,Sean Quinlan,02-Feb-19,1,"Without a doubt, the most confusing app ive ever used in my life. Amazon must have literally no design staff to launch something this obtuse and irrelevant for the task at hand. The most basic of tasks like changing wifi settings are impossible to find. Its constantly explaining how to do the most complex tasks i have no interest in using my echo to perform and leaves the important tasks indescribably hard. Terrible in every sense. The update for formalized what was already completely trash.",2019-04-01,AUDIO,Everyone,com.amazon.dee.app,995381,"Without a doubt, the most confusing app ive ever used in my life. Amazon must have literally no design staff to launch something this obtuse and irrelevant for the task at hand. The most basic of tasks like changing wifi settings are impossible to find. Its constantly explaining how to do the most complex tasks i have no interest in using my echo to perform and leaves the important tasks indescribably hard. Terrible in every sense. The update for formalized what was already completely trash.",1,0,0,1
799770,PBS KIDS Video,A Google User,29-Apr-16,5,PBS Kids Great app.,2019-03-24,EDUCATION,Everyone,org.pbskids.video,1326673,PBS Kids Great app.,0,0,0,1
368863,Ms.Sibyl - See Future Me,,08-Mar-19,1,terrible you have to pay for its just a scam,2019-03-13,LIFESTYLE,Everyone,com.ghost.sibyl,617650,terrible you have to pay for its just a scam,0,0,0,1
14474,"Calm - Meditate, Sleep, Relax",Victoria Renee Foster,03-Mar-19,5,"Amazing! Normally I don't go for meditation apps because most are fake or don't work for me. As many times as I saw the ad on Facebook I can say, without a doubt, best app I've ever gotten!",2019-03-16,FITNESS,Everyone,com.calm.android,17297,"Amazing! Normally I don't go for meditation apps because most are fake or don't work for me. As many times as I saw the ad on Facebook I can say, without a doubt, best app I've ever gotten!",0,0,0,1
852532,Venmo Mobile Wallet: Send & Receive Money,,06-Mar-19,1,they stole 900 dollars from me,2019-03-24,FINANCE,Everyone,com.venmo,1410436,they stole 900 dollars from me,0,0,0,1
231119,Snowball.io,A Google User,25-Mar-19,5,Fun and challenging game!,2019-04-01,ACTION,Everyone,com.geishatokyo.snowballio,344898,Fun and challenging game!,0,0,0,1
1025199,Roblox,A Google User,14-Apr-19,5,ban the oders now!,2019-04-14,FAMILY,Everyone 10+,com.roblox.client,1676616,ban the oders now!,0,0,0,1
