cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.5196078431372549
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.5591397849462365
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.53
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.569620253164557
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.5909090909090909
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.5483870967741935
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5142857142857142
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.5747126436781609
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6530612244897959
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5051546391752577
