cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6666666666666666;0.6751592356687898;0.6904761904761905;0.6;0.7152317880794702;0.6027397260273972;0.6202531645569621;0.589041095890411;0.5671641791044776;0.6216216216216216
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.5555555555555556;0.6620689655172415;0.5352112676056338;0.6459627329192548;0.7096774193548386;0.6394557823129252;0.6535947712418302;0.6621621621621622;0.6388888888888888;0.6838709677419355
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7317073170731707;0.8085106382978723;0.7251461988304093;0.7701149425287357;0.7085714285714286;0.72;0.738095238095238;0.7659574468085106;0.7643312101910827;0.6826347305389221
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7701149425287357;0.7487179487179488;0.7802197802197802;0.7283236994219653;0.7816091954022988;0.7634408602150538;0.7582417582417582;0.6885245901639343;0.7222222222222222;0.7100591715976332
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7734806629834255;0.7960199004975124;0.7225806451612902;0.6896551724137931;0.7314285714285714;0.8333333333333333;0.7142857142857143;0.7979274611398963;0.7960199004975124;0.8076923076923077
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6585365853658537;0.6753246753246753;0.6274509803921569;0.7421383647798743;0.675;0.6068965517241378;0.6405228758169935;0.6181818181818182;0.6455696202531647;0.6040268456375839
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6405228758169934;0.5957446808510638;0.6709677419354838;0.6666666666666666;0.6423357664233578;0.7052023121387284;0.6380368098159509;0.7027027027027027;0.6575342465753424;0.6216216216216216
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6545454545454545;0.6987951807228916;0.547945205479452;0.5986394557823129;0.6459627329192547;0.6341463414634145;0.6706586826347305;0.6442953020134228;0.7484662576687118;0.6455696202531646
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7387387387387387;0.7381974248927038;0.7188940092165899;0.7288135593220341;0.8033472803347281;0.6607142857142857;0.7053941908713693;0.7666666666666666;0.7385892116182573;0.7355371900826446
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.752212389380531;0.7381974248927039;0.7358490566037735;0.6666666666666666;0.775;0.6696428571428572;0.7248908296943233;0.7579908675799087;0.7297297297297297;0.7111111111111111
