cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6854838709677419;0.6982758620689655;0.6696428571428571;0.5970149253731343;0.7394957983193278;0.664;0.6386554621848739;0.6119402985074627;0.664179104477612;0.6587301587301587
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.627906976744186;0.6984126984126984;0.648;0.6440677966101694;0.7264957264957265;0.7203389830508474;0.6776859504132231;0.7049180327868853;0.6744186046511628;0.6859504132231405
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7431192660550459;0.7448979591836735;0.7676767676767676;0.7647058823529411;0.6990291262135923;0.6886792452830188;0.7669902912621359;0.7582417582417582;0.7521367521367521;0.6818181818181818
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8041237113402062;0.7159090909090909;0.7956989247311828;0.78125;0.797979797979798;0.7692307692307693;0.75;0.6310679611650486;0.7;0.7524752475247525
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7789473684210526;0.8311688311688312;0.8113207547169812;0.71;0.7708333333333334;0.8602150537634409;0.7938144329896907;0.75;0.7111111111111111;0.8243243243243243
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6198347107438017;0.7545454545454545;0.6451612903225806;0.7456140350877193;0.6869565217391305;0.7058823529411765;0.7043478260869566;0.5819672131147541;0.6290322580645161;0.6585365853658537
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6585365853658537;0.6771653543307087;0.6833333333333333;0.7142857142857143;0.7666666666666667;0.6886792452830188;0.6324786324786325;0.712;0.6796875;0.680327868852459
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6607142857142857;0.6936936936936937;0.5851851851851851;0.6666666666666666;0.6666666666666666;0.6134453781512605;0.6607142857142857;0.672;0.7545454545454545;0.6554621848739496
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.8823529411764706;0.926829268292683;0.9387755102040817;0.9722222222222222;0.9545454545454546;0.875;0.90625;0.9024390243902439;0.8461538461538461;0.9142857142857143
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8627450980392157;0.8636363636363636;0.8360655737704918;0.8775510204081632;0.8085106382978723;0.8;0.75;0.8166666666666667;0.8979591836734694;0.8163265306122449
