cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8854166666666666;0.8350515463917526;0.8333333333333334;0.9302325581395349;0.88;0.8383838383838383;0.8172043010752689;0.9111111111111111;0.8725490196078431;0.8645833333333334
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8350515463917526;0.8888888888888888;0.7864077669902912;0.8351648351648352;0.8673469387755102;0.8095238095238095;0.8541666666666666;0.86;0.8969072164948454;0.8829787234042553
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8350515463917526;0.8690476190476191;0.76;0.8297872340425532;0.782608695652174;0.8202247191011236;0.797979797979798;0.7582417582417582;0.9166666666666666;0.8064516129032258
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7878787878787878;0.7241379310344828;0.7789473684210526;0.7425742574257426;0.8144329896907216;0.7526881720430108;0.782608695652174;0.7738095238095238;0.7777777777777778;0.76
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7872340425531915;0.6956521739130435;0.7889908256880734;0.7395833333333334;0.7474747474747475;0.8247422680412371;0.7333333333333333;0.8117647058823529;0.810126582278481;0.6931818181818182
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8823529411764706;0.7830188679245284;0.8602150537634409;0.8762886597938144;0.8315789473684211;0.7924528301886793;0.7941176470588235;0.8554216867469879;0.8863636363636364;0.826530612244898
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8617021276595744;0.8431372549019608;0.8631578947368421;0.8415841584158416;0.8141592920353983;0.8021978021978022;0.8222222222222222;0.9175257731958762;0.90625;0.83
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7956989247311828;0.8279569892473119;0.8876404494382022;0.82;0.8;0.8390804597701149;0.8131868131868132;0.875;0.8556701030927835;0.8387096774193549
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.4639175257731959;0.3958333333333333;0.4423076923076923;0.35714285714285715;0.4827586206896552;0.330188679245283;0.29896907216494845;0.4157303370786517;0.36666666666666664;0.34408602150537637
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.4731182795698925;0.40860215053763443;0.5257731958762887;0.39814814814814814;0.4578313253012048;0.3564356435643564;0.43820224719101125;0.5384615384615384;0.4444444444444444;0.4166666666666667
