cfg_id,bow,bigram,lemmatize,remove_stopwords,rating,length,tense,sentiment1,sentiment2,db_comment_column_name,1_fold,2_fold,3_fold,4_fold,5_fold,6_fold,7_fold,8_fold,9_fold,10_fold,value,label
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,stopwords_removal_lemmatization,0.953000069,0.953000069,0.876999855,0.876999855,0.743999958,0.743999958,0.722000122,0.722000122,0.822000027,0.822000027,time,feature
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,stopwords_removal_lemmatization,0.830000162,0.830000162,0.812000036,0.812000036,0.776000023,0.776000023,0.753000021,0.753000021,0.730000019,0.730000019,time,feature
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,stopwords_removal_lemmatization,0.608999968,0.608999968,0.661000013,0.661000013,0.687999964,0.687999964,0.70299983,0.70299983,0.694000006,0.694000006,time,feature
bigram-rating-sentiment1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,comment,1.078000069,1.078000069,0.963999987,0.963999987,1.055000067,1.055000067,1.032999992,1.032999992,1.052000046,1.052000046,time,feature
bigram-rating-sentiment1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,comment,0.983999968,0.983999968,1.019999981,1.019999981,1.010999918,1.010999918,1.02699995,1.02699995,1.065999985,1.065999985,time,feature
bigram-rating-sentiment1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,comment,0.85800004,0.85800004,0.906000137,0.906000137,0.858999968,0.858999968,0.875999928,0.875999928,0.835000038,0.835000038,time,feature
bow-bigram-lemmatize-rating-tense,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,lemmatized_comment,6.112999916,6.112999916,5.569000006,5.569000006,5.829999924,5.829999924,5.588999987,5.588999987,5.476000071,5.476000071,time,feature
bow-bigram-lemmatize-rating-tense,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,lemmatized_comment,6.172999859,6.172999859,6.375999928,6.375999928,5.946000099,5.946000099,6.144999981,6.144999981,6.296000004,6.296000004,time,feature
bow-bigram-lemmatize-rating-tense,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,lemmatized_comment,6.39199996,6.39199996,6.262000084,6.262000084,6.351000071,6.351000071,6.153000116,6.153000116,6.350000143,6.350000143,time,feature
bow-bigram-lemmatize-rating-tense,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,lemmatized_comment,6.369999886,6.369999886,6.095000029,6.095000029,6.390000105,6.390000105,6.211999893,6.211999893,6.553999901,6.553999901,time,feature
bow-bigram-lemmatize-rating-tense,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,lemmatized_comment,4.412999868,4.412999868,4.355000019,4.355000019,4.475999832,4.475999832,4.561000109,4.561000109,4.286000013,4.286000013,time,feature
bow-bigram-remove_stopwords-rating-tense-sentiment1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,stopwords_removal,6.22300005,6.22300005,6.253999949,6.253999949,6.18200016,6.18200016,6.308000088,6.308000088,6.220999956,6.220999956,time,feature
bow-bigram-remove_stopwords-rating-tense-sentiment1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,stopwords_removal,6.165999889,6.165999889,6.360999823,6.360999823,6.524000168,6.524000168,6.265000105,6.265000105,6.167000055,6.167000055,time,feature
bow-bigram-remove_stopwords-rating-tense-sentiment1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,stopwords_removal,6.437999964,6.437999964,6.032000065,6.032000065,5.899000168,5.899000168,6.440999985,6.440999985,6.253000021,6.253000021,time,feature
bow-bigram-remove_stopwords-rating-tense-sentiment1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,stopwords_removal,7,7,6.543000221,6.543000221,6.996000051,6.996000051,7.30700016,7.30700016,7.832000017,7.832000017,time,feature
bow-bigram-remove_stopwords-rating-tense-sentiment1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,stopwords_removal,6.292999983,6.292999983,7.029999971,7.029999971,8.092999935,8.092999935,7.057999849,7.057999849,6.91899991,6.91899991,time,feature
bow-bigram-remove_stopwords-rating-tense-sentiment1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,stopwords_removal,4.548000097,4.548000097,4.108999968,4.108999968,4.235999823,4.235999823,4.447999954,4.447999954,4.330999851,4.330999851,time,feature
bow-bigram-tense-sentiment1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,comment,7.942000151,7.942000151,7.893999815,7.893999815,7.976999998,7.976999998,8.040999889,8.040999889,966.8990002,966.8990002,time,feature
bow-bigram-tense-sentiment1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,comment,7.907999992,7.907999992,7.650000095,7.650000095,8.119999886,8.119999886,8.265000105,8.265000105,8.480999947,8.480999947,time,feature
bow-bigram-tense-sentiment1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,comment,8.191000223,8.191000223,8.311000109,8.311000109,7.914000034,7.914000034,8.273000002,8.273000002,7.69900012,7.69900012,time,feature
