cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7643979057591622;0.7106598984771574;0.7188940092165899;0.7570093457943925;0.7562189054726369;0.7669902912621359;0.7352941176470588;0.6881720430107527;0.7738693467336684;0.7222222222222222
bigram;False;True;False;False;False;False;False;False;False;comment;0.7032258064516128;0.7508532423208192;0.6822742474916388;0.7407407407407407;0.752542372881356;0.7828947368421053;0.712871287128713;0.6797385620915032;0.695945945945946;0.7062706270627064
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7052631578947368;0.7298578199052133;0.8054298642533937;0.7363636363636363;0.7404255319148936;0.7389162561576353;0.7053140096618357;0.7182320441988951;0.7557603686635944;0.7609756097560976
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7933884297520662;0.8035714285714286;0.8032786885245902;0.8048780487804879;0.8108108108108107;0.7619047619047619;0.7807017543859649;0.8192771084337349;0.8088888888888889;0.7966101694915255
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8075117370892019;0.7926267281105991;0.7962085308056872;0.8;0.7962085308056872;0.8209606986899564;0.7443946188340806;0.8127853881278538;0.7762557077625571;0.7307692307692308
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8165137614678898;0.8255319148936169;0.7822222222222223;0.7829787234042555;0.7945205479452055;0.8;0.808;0.8051948051948052;0.7736625514403291;0.765217391304348
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7755102040816327;0.7317073170731707;0.6951871657754011;0.7238095238095237;0.7713004484304933;0.7904761904761904;0.7142857142857143;0.7252747252747253;0.7499999999999999;0.717948717948718
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.788135593220339;0.785425101214575;0.8122270742358078;0.84;0.8071748878923767;0.8065843621399178;0.784688995215311;0.8166666666666667;0.8384615384615385;0.787878787878788
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.6871794871794872;0.714975845410628;0.7281105990783411;0.7373737373737373;0.7236180904522612;0.6598984771573604;0.7582938388625592;0.7181818181818183;0.6770833333333333;0.6280193236714975
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7474747474747474;0.7678571428571429;0.7407407407407407;0.7076923076923076;0.7534883720930232;0.7706422018348623;0.7071823204419889;0.7425742574257426;0.7474747474747475;0.6847826086956521
bow;True;False;False;False;False;False;False;False;False;comment;0.717948717948718;0.7102803738317757;0.7677725118483413;0.6555555555555554;0.7219512195121951;0.6985645933014354;0.6979166666666666;0.6923076923076923;0.7222222222222222;0.7155963302752294
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7927927927927929;0.7782805429864253;0.8312757201646089;0.7983193277310925;0.7981220657276995;0.7692307692307692;0.7767857142857143;0.8433734939759037;0.8165137614678898;0.798076923076923
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7707317073170732;0.7802690582959642;0.779816513761468;0.7567567567567567;0.7586206896551724;0.7692307692307692;0.7446808510638298;0.7211538461538461;0.782608695652174;0.7422680412371133
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7657657657657658;0.7115384615384616;0.75;0.7389162561576353;0.6633663366336633;0.6903553299492386;0.7323943661971831;0.6824644549763034;0.7307692307692307;0.7881773399014778
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7762237762237763;0.7806691449814126;0.7773851590106007;0.7428571428571428;0.7464788732394366;0.7259259259259259;0.7636363636363637;0.7619047619047619;0.7456445993031359;0.7380073800738007
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7441860465116279;0.7599999999999999;0.7264957264957265;0.7753623188405797;0.7786259541984734;0.7607843137254902;0.7489711934156379;0.7942238267148013;0.754863813229572;0.76078431372549
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.7222222222222222;0.7115384615384616;0.7264573991031391;0.717391304347826;0.7384615384615385;0.7649769585253456;0.7301587301587302;0.736318407960199;0.6951871657754011;0.7244897959183674
