cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7684210526315789;0.6306306306306306;0.6341463414634146;0.7105263157894737;0.6666666666666666;0.7247706422018348;0.6696428571428571;0.6808510638297872;0.7264150943396226;0.6190476190476191
bigram;False;True;False;False;False;False;False;False;False;comment;1.0;0.9734513274336283;0.9807692307692307;0.990990990990991;0.9910714285714286;0.9754098360655737;0.9908256880733946;0.9904761904761905;0.9716981132075472;0.981651376146789
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.638095238095238;0.6695652173913044;0.7542372881355932;0.6532258064516129;0.7131147540983607;0.7009345794392523;0.6460176991150443;0.6770833333333334;0.6890756302521008;0.6842105263157895
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.8205128205128205;0.8490566037735849;0.8166666666666667;0.8319327731092437;0.9051724137931034;0.7857142857142857;0.839622641509434;0.8869565217391304;0.8504672897196262;0.8173913043478261
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8269230769230769;0.819047619047619;0.7850467289719626;0.7768595041322314;0.7850467289719626;0.8173913043478261;0.7614678899082569;0.8640776699029126;0.7589285714285714;0.7378640776699029
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8476190476190476;0.8981481481481481;0.8461538461538461;0.8518518518518519;0.8446601941747572;0.7868852459016393;0.8278688524590164;0.8454545454545455;0.8468468468468469;0.7857142857142857
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6972477064220184;0.635593220338983;0.6190476190476191;0.6608695652173913;0.7107438016528925;0.7410714285714286;0.6306306306306306;0.7252747252747253;0.6666666666666666;0.6542056074766355
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8611111111111112;0.8434782608695652;0.8691588785046729;0.9051724137931034;0.8490566037735849;0.8376068376068376;0.82;0.8828828828828829;0.8582677165354331;0.8921568627450981
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.6090909090909091;0.6788990825688074;0.6422764227642277;0.7019230769230769;0.6792452830188679;0.5701754385964912;0.7142857142857143;0.6929824561403509;0.5963302752293578;0.5603448275862069
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6915887850467289;0.7543859649122807;0.6896551724137931;0.6509433962264151;0.6923076923076923;0.7304347826086957;0.64;0.7281553398058253;0.7115384615384616;0.6116504854368932
bow;True;False;False;False;False;False;False;False;False;comment;0.660377358490566;0.6608695652173913;0.7363636363636363;0.6276595744680851;0.6548672566371682;0.6636363636363637;0.7052631578947368;0.6371681415929203;0.7289719626168224;0.6610169491525424
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8073394495412844;0.7678571428571429;0.8859649122807017;0.8636363636363636;0.8333333333333334;0.7657657657657657;0.7565217391304347;0.8467741935483871;0.8640776699029126;0.7830188679245284
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7117117117117117;0.7073170731707317;0.6910569105691057;0.7;0.6754385964912281;0.6692913385826772;0.660377358490566;0.6756756756756757;0.6982758620689655;0.6666666666666666
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.68;0.6607142857142857;0.7027027027027027;0.6880733944954128;0.5929203539823009;0.6238532110091743;0.6782608695652174;0.6428571428571429;0.6440677966101694;0.7547169811320755
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9910714285714286;0.9545454545454546;0.9734513274336283;0.9541284403669725;0.9464285714285714;0.9245283018867925;0.9813084112149533;0.9572649572649573;0.9469026548672567;0.9523809523809523
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8727272727272727;0.8796296296296297;0.85;0.856;0.9107142857142857;0.8818181818181818;0.8666666666666667;0.8527131782945736;0.8083333333333333;0.8981481481481481
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.6446280991735537;0.6548672566371682;0.6532258064516129;0.6346153846153846;0.6923076923076923;0.680327868852459;0.6831683168316832;0.6166666666666667;0.6132075471698113;0.6893203883495146
