cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6451612903225807;0.6474820143884893;0.7547169811320755;0.6709677419354838;0.6202531645569621;0.5945945945945946;0.6164383561643836;0.6376811594202898;0.6624203821656051;0.6493506493506493
bigram;False;True;False;False;False;False;False;False;False;comment;0.7302904564315353;0.7510917030567684;0.7459016393442623;0.7196652719665272;0.7358490566037735;0.7704918032786885;0.7657657657657658;0.7385892116182573;0.6582278481012659;0.7372881355932203
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6578947368421053;0.5578231292517007;0.6756756756756757;0.7499999999999999;0.631578947368421;0.5657894736842105;0.632258064516129;0.5925925925925926;0.6625766871165645;0.6493506493506493
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7752808988764045;0.7301587301587301;0.8192771084337349;0.7439024390243902;0.7614213197969543;0.7252747252747253;0.7182320441988951;0.7672955974842768;0.7085714285714286;0.7361963190184049
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7100591715976331;0.7777777777777779;0.7344632768361582;0.7441860465116279;0.7514450867052023;0.6923076923076923;0.6967741935483871;0.7875000000000001;0.6936416184971098;0.7209302325581395
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.725;0.7772020725388601;0.8038277511961722;0.782608695652174;0.7514450867052024;0.7292817679558011;0.7888888888888889;0.7745664739884393;0.807017543859649;0.7472527472527472
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6713286713286714;0.620253164556962;0.5578231292517007;0.6666666666666666;0.6459627329192547;0.5970149253731343;0.6216216216216216;0.5753424657534246;0.6496815286624203;0.49586776859504134
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7885714285714287;0.7282608695652174;0.7564766839378239;0.7731958762886597;0.7368421052631579;0.7407407407407407;0.7675675675675675;0.768421052631579;0.7916666666666667;0.8043478260869564
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.6867469879518072;0.6887417218543047;0.6193548387096774;0.5986394557823129;0.5490196078431373;0.6619718309859155;0.6586826347305389;0.6787878787878787;0.6335403726708074;0.6564885496183206
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6266666666666667;0.6745562130177515;0.7176470588235294;0.6490066225165563;0.6493506493506493;0.7133757961783439;0.6388888888888888;0.5846153846153846;0.6973684210526315;0.6666666666666666
bow;True;False;False;False;False;False;False;False;False;comment;0.6708074534161491;0.6573426573426573;0.6142857142857143;0.5714285714285714;0.5655172413793104;0.6578947368421053;0.6329113924050632;0.5390070921985816;0.6829268292682926;0.5945945945945946
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7125;0.7349397590361446;0.7657142857142857;0.7019867549668874;0.75;0.7;0.7189542483660131;0.6946107784431137;0.7386363636363636;0.6871165644171779
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6415094339622641;0.7030303030303031;0.6582278481012659;0.6266666666666667;0.6666666666666666;0.6797385620915032;0.6351351351351352;0.6081081081081081;0.6620689655172414;0.7750000000000001
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6530612244897959;0.5797101449275363;0.6341463414634145;0.6467065868263473;0.5441176470588235;0.715151515151515;0.6323529411764707;0.681081081081081;0.5974025974025975;0.6107784431137725
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7031963470319633;0.7155172413793103;0.6982758620689654;0.7207207207207206;0.7172995780590717;0.7172995780590717;0.7796610169491526;0.7705627705627706;0.7131147540983608;0.7264957264957265
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7272727272727273;0.6956521739130435;0.6831683168316832;0.7280701754385964;0.7094017094017093;0.7174887892376681;0.7636363636363637;0.6926829268292682;0.7565217391304347;0.6752136752136753
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.5974025974025975;0.691358024691358;0.6099290780141843;0.5625;0.631578947368421;0.5633802816901408;0.5736434108527131;0.6081081081081081;0.631578947368421;0.5714285714285714
