cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7725399694552478;0.5622426321825198;0.6499066334031115;3.7109000205993654
bigram;False;True;False;False;False;False;False;False;False;comment;0.5957591261485942;0.9639487971168714;0.7353160891760064;0.7937999963760376
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.769709811688503;0.5457639545818813;0.6375539956398049;5.0327999830245975
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.739208213293178;0.7593325431986008;0.7485610610837944;5.898799991607666
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.769332950162197;0.7011051635494814;0.7309085096339729;4.603000020980835
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7580785837551733;0.7805964534747618;0.7687091028037935;5.984300017356873
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7676730799245429;0.5128377366230507;0.6101562674728898;3.4637000799179076
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7519610961428655;0.7807265940942953;0.7656090817319798;4.534800052642822
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.756905107592798;0.5607949792941506;0.64319738789347;3.4998000144958494
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7720135462664197;0.5819176415466749;0.6618142367777069;5.122399997711182
bow;True;False;False;False;False;False;False;False;False;comment;0.7446218962988939;0.532582535498684;0.618671628316104;4.7875
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7691845207859866;0.6792659880786853;0.7204458754579985;3.998800015449524
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7838416496987209;0.5810383032416284;0.6656151689279154;3.428999996185303
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7493849553242375;0.5451381277919622;0.6294508522691353;3.752199959754944
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5839468626028766;0.9624140506284904;0.7262143595425113;0.7715999603271484
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5969770384262606;0.8948884599347637;0.7149108596905169;0.6200000047683716
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.8210233359155185;0.481905506096391;0.6040907966924516;3.661899948120117
