cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.78125;0.75;0.8333333333333334;0.8253968253968254;0.7424242424242424;0.7586206896551724;0.7758620689655172;0.7586206896551724;0.7536231884057971;0.746268656716418
bigram;False;True;False;False;False;False;False;False;False;comment;0.5945945945945946;0.6099290780141844;0.6148648648648649;0.5695364238410596;0.5909090909090909;0.6482758620689655;0.6343283582089553;0.5973154362416108;0.4936708860759494;0.6041666666666666
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7936507936507936;0.7592592592592593;0.78125;0.8260869565217391;0.7741935483870968;0.6825396825396826;0.765625;0.7272727272727273;0.8059701492537313;0.78125
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7752808988764045;0.7040816326530612;0.8395061728395061;0.7439024390243902;0.7211538461538461;0.6875;0.7386363636363636;0.7625;0.6966292134831461;0.7228915662650602
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7407407407407407;0.7682926829268293;0.8125;0.7191011235955056;0.7831325301204819;0.8059701492537313;0.7714285714285715;0.8513513513513513;0.759493670886076;0.6813186813186813
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7435897435897436;0.78125;0.7850467289719626;0.7578947368421053;0.7303370786516854;0.6875;0.7802197802197802;0.7701149425287356;0.8214285714285714;0.723404255319149
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7384615384615385;0.6901408450704225;0.82;0.8059701492537313;0.8;0.7843137254901961;0.7301587301587301;0.7;0.796875;0.8108108108108109
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7666666666666667;0.7204301075268817;0.7448979591836735;0.7575757575757576;0.7325581395348837;0.7;0.7717391304347826;0.7849462365591398;0.7450980392156863;0.7956989247311828
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.8028169014084507;0.7647058823529411;0.7058823529411765;0.7857142857142857;0.6774193548387096;0.7833333333333333;0.7333333333333333;0.7887323943661971;0.7727272727272727;0.7543859649122807
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8103448275862069;0.8142857142857143;0.7530864197530864;0.7424242424242424;0.7936507936507936;0.8484848484848485;0.7301587301587301;0.6551724137931034;0.7571428571428571;0.8153846153846154
bow;True;False;False;False;False;False;False;False;False;comment;0.7714285714285715;0.7121212121212122;0.7678571428571429;0.7;0.6833333333333333;0.8333333333333334;0.704225352112676;0.7755102040816326;0.7887323943661971;0.7096774193548387
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7402597402597403;0.8356164383561644;0.8589743589743589;0.7910447761194029;0.7692307692307693;0.7368421052631579;0.7333333333333333;0.725;0.7926829268292683;0.7088607594936709
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8095238095238095;0.8169014084507042;0.7027027027027027;0.746031746031746;0.7384615384615385;0.8125;0.8392857142857143;0.7377049180327869;0.7741935483870968;0.8611111111111112
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7272727272727273;0.7272727272727273;0.7123287671232876;0.7605633802816901;0.6981132075471698;0.7763157894736842;0.7962962962962963;0.8076923076923077;0.7796610169491526;0.7083333333333334
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5620437956204379;0.5684931506849316;0.5547945205479452;0.5755395683453237;0.5629139072847682;0.5666666666666667;0.6618705035971223;0.6402877697841727;0.5686274509803921;0.5782312925170068
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5986394557823129;0.6153846153846154;0.5433070866141733;0.5763888888888888;0.5928571428571429;0.6015037593984962;0.6666666666666666;0.5819672131147541;0.6444444444444445;0.5486111111111112
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.8518518518518519;0.7777777777777778;0.8958333333333334;0.7346938775510204;0.7619047619047619;0.8;0.8604651162790697;0.8490566037735849;0.8275862068965517;0.851063829787234
