cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.5494505494505495;0.569620253164557;0.6896551724137931;0.5652173913043478;0.532608695652174;0.4888888888888889;0.5113636363636364;0.55;0.5909090909090909;0.5747126436781609
bigram;False;True;False;False;False;False;False;False;False;comment;0.946236559139785;0.9772727272727273;0.9479166666666666;0.9772727272727273;0.975;0.9494949494949495;0.9659090909090909;0.967391304347826;0.9873417721518988;0.9456521739130435
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.5617977528089888;0.44086021505376344;0.5952380952380952;0.6867469879518072;0.5333333333333333;0.48314606741573035;0.5384615384615384;0.5;0.5625;0.5555555555555556
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7752808988764045;0.7582417582417582;0.8;0.7439024390243902;0.8064516129032258;0.7674418604651163;0.6989247311827957;0.7721518987341772;0.7209302325581395;0.75
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.6818181818181818;0.7875;0.6701030927835051;0.7710843373493976;0.7222222222222222;0.6067415730337079;0.6352941176470588;0.7325581395348837;0.6382978723404256;0.7654320987654321
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7073170731707317;0.7731958762886598;0.8235294117647058;0.8089887640449438;0.7738095238095238;0.7764705882352941;0.797752808988764;0.7790697674418605;0.7931034482758621;0.7727272727272727
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6153846153846154;0.5632183908045977;0.422680412371134;0.5684210526315789;0.5416666666666666;0.4819277108433735;0.5411764705882353;0.4883720930232558;0.5483870967741935;0.35714285714285715
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8117647058823529;0.7362637362637363;0.7684210526315789;0.7894736842105263;0.7411764705882353;0.7865168539325843;0.7634408602150538;0.7525773195876289;0.8444444444444444;0.8131868131868132
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.6;0.6265060240963856;0.5517241379310345;0.4835164835164835;0.46153846153846156;0.573170731707317;0.5978260869565217;0.5957446808510638;0.5368421052631579;0.581081081081081
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.5108695652173914;0.5757575757575758;0.6853932584269663;0.5764705882352941;0.5494505494505495;0.6153846153846154;0.5679012345679012;0.5277777777777778;0.6463414634146342;0.5638297872340425
bow;True;False;False;False;False;False;False;False;False;comment;0.5934065934065934;0.6103896103896104;0.5119047619047619;0.4827586206896552;0.4823529411764706;0.5434782608695652;0.5747126436781609;0.41304347826086957;0.6021505376344086;0.5116279069767442
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6867469879518072;0.6559139784946236;0.6907216494845361;0.6309523809523809;0.7317073170731707;0.6666666666666666;0.7051282051282052;0.6666666666666666;0.6914893617021277;0.6666666666666666
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.53125;0.6170212765957447;0.6190476190476191;0.5402298850574713;0.6075949367088608;0.5842696629213483;0.5108695652173914;0.5172413793103449;0.5783132530120482;0.7045454545454546
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.5925925925925926;0.4819277108433735;0.5714285714285714;0.5625;0.4457831325301205;0.6629213483146067;0.524390243902439;0.5887850467289719;0.4842105263157895;0.5368421052631579
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9390243902439024;0.9651162790697675;0.9418604651162791;0.963855421686747;0.9883720930232558;0.9770114942528736;0.9484536082474226;0.967391304347826;0.9560439560439561;0.9770114942528736
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.9263157894736842;0.8;0.92;0.9880952380952381;0.8829787234042553;0.8888888888888888;0.8936170212765957;0.8554216867469879;0.9157894736842105;0.8777777777777778
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.46;0.6222222222222222;0.46236559139784944;0.45569620253164556;0.5393258426966292;0.43478260869565216;0.43023255813953487;0.47368421052631576;0.5106382978723404;0.43010752688172044
