cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8221343873517786;0.7692307692307694;0.7312775330396475;0.7739130434782608;0.7983539094650206;0.7983193277310924;0.775;0.7751937984496123;0.8163265306122448;0.8106060606060606
bigram;False;True;False;False;False;False;False;False;False;comment;0.31343283582089554;0.5165562913907286;0.3448275862068965;0.47619047619047616;0.5100671140939597;0.5285714285714286;0.3829787234042553;0.2898550724637681;0.3918918918918919;0.3687943262411348
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7795275590551181;0.7553648068669528;0.8071748878923767;0.7410714285714286;0.7081339712918661;0.7800829875518672;0.7426160337552742;0.8060836501901142;0.7665198237885463;0.7949790794979079
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7524752475247525;0.8;0.7599999999999999;0.7575757575757577;0.7351351351351351;0.7417840375586854;0.7685185185185185;0.7692307692307692;0.8036529680365296;0.7692307692307692
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8225108225108225;0.801762114537445;0.815450643776824;0.7751196172248804;0.815450643776824;0.8093023255813954;0.7420814479638009;0.8177777777777778;0.7822222222222223;0.7627118644067797
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8230088495575221;0.8038277511961722;0.7762557077625571;0.7559808612440192;0.8;0.7647058823529413;0.7525773195876289;0.7887323943661972;0.7263681592039801;0.7476635514018692
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8225806451612903;0.7698744769874476;0.7782101167315174;0.7521367521367521;0.7692307692307694;0.811965811965812;0.7741935483870969;0.8091603053435115;0.8095238095238095;0.7791164658634538
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7596153846153847;0.7309644670050761;0.8;0.7938144329896907;0.8054298642533937;0.7661691542288557;0.8085106382978723;0.7843137254901962;0.7717391304347826;0.7699530516431925
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.7550200803212852;0.7510548523206753;0.7400881057268722;0.7886178861788619;0.7755102040816326;0.728744939271255;0.7811158798283262;0.7232142857142858;0.7539682539682538;0.6751054852320675
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7967479674796747;0.7636363636363638;0.7543859649122806;0.7710843373493976;0.7685589519650655;0.7787610619469026;0.7984790874524715;0.7851239669421488;0.7967479674796748;0.776923076923077
bow;True;False;False;False;False;False;False;False;False;comment;0.7791164658634538;0.7304347826086957;0.7896995708154506;0.7651515151515152;0.7615062761506276;0.7319148936170214;0.76984126984127;0.728813559322034;0.7368421052631579;0.7256637168141593
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7927927927927929;0.7802690582959642;0.7960199004975124;0.766990291262136;0.8138528138528138;0.7713004484304933;0.7727272727272727;0.8;0.8230088495575221;0.8220338983050847
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8033472803347281;0.7782805429864253;0.7876106194690264;0.7567567567567567;0.7966804979253111;0.7713004484304933;0.8125;0.7542372881355931;0.810126582278481;0.8
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7657657657657658;0.7457627118644068;0.7796610169491526;0.7800829875518672;0.71900826446281;0.7530364372469635;0.7532467532467533;0.7124463519313304;0.7627118644067796;0.8215767634854773
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5949367088607594;0.6628571428571429;0.6086956521739131;0.5609756097560976;0.5499999999999999;0.5747126436781609;0.6153846153846154;0.5333333333333333;0.5350318471337581;0.5895953757225434
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6451612903225807;0.6907216494845361;0.6952380952380952;0.6309523809523809;0.6813186813186813;0.6772486772486772;0.6965174129353234;0.658682634730539;0.6631016042780747;0.6772486772486772
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.7368421052631579;0.7457627118644068;0.7239819004524887;0.8;0.7951807228915663;0.775330396475771;0.8;0.7818930041152263;0.7782101167315174;0.7822580645161291
