cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7368090791928943;0.8479370944360664;0.7870355359964487;7.441200041770935
bigram;False;True;False;False;False;False;False;False;False;comment;0.9477566646316647;0.26762398602644755;0.41231657462754345;1.5997999906539917
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.714903031463578;0.831119756255406;0.7681554228461452;10.768499970436096
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.8142898455365568;0.724470760815507;0.7657603202810916;8.27579996585846
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.799533768705174;0.7905176228273343;0.7944389479778772;6.672799968719483
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8198262038387512;0.734626824526494;0.7739120476672887;9.109800004959107
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7291599766889266;0.8581861808350343;0.787599270133146;5.94449999332428
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8405524170328776;0.7270806546038705;0.7790509848958443;6.448399925231934
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.6934105466014591;0.812241160412596;0.7472439972643515;5.381200003623962
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7372962996171337;0.8267606832882685;0.7790448746087058;7.207100033760071
bow;True;False;False;False;False;False;False;False;False;comment;0.7183074100474913;0.7906130899447865;0.7518984155447385;7.249499988555908
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8126423841907131;0.7781906536867151;0.7938995325721592;5.677899980545044
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7172360633625001;0.8731429976844327;0.7870840016316815;4.811999988555908
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.70471807205163;0.8244612340816163;0.7593298916911305;5.0637000560760494
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9123705167006385;0.42871301141205864;0.5825522928900323;0.994599986076355
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8075936755491435;0.5762186021119654;0.6716191103757565;0.7299000263214112
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.7081880893341234;0.8507230903089796;0.7719459022310263;5.876599955558777
