cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8253968253968254;0.6985294117647058;0.6484375;0.7295081967213115;0.7185185185185186;0.76;0.7153846153846154;0.7692307692307693;0.7751937984496124;0.7278911564625851
bigram;False;True;False;False;False;False;False;False;False;comment;1.0;0.9285714285714286;0.9259259259259259;0.9722222222222222;0.9743589743589743;0.925;0.9642857142857143;0.9523809523809523;0.90625;0.9285714285714286
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7226277372262774;0.6984126984126984;0.7563025210084033;0.6587301587301587;0.6788990825688074;0.746031746031746;0.6875;0.7737226277372263;0.7016129032258065;0.7251908396946565
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7835051546391752;0.8461538461538461;0.7755102040816326;0.7894736842105263;0.8607594936708861;0.7669902912621359;0.83;0.8522727272727273;0.8461538461538461;0.7920792079207921
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8407079646017699;0.8272727272727273;0.8050847457627118;0.75;0.8050847457627118;0.8055555555555556;0.7592592592592593;0.8679245283018868;0.7652173913043478;0.7692307692307693
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8532110091743119;0.8842105263157894;0.8415841584158416;0.8315789473684211;0.8490566037735849;0.75;0.776595744680851;0.8316831683168316;0.8111111111111111;0.7692307692307693
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7555555555555555;0.6814814814814815;0.7142857142857143;0.6929133858267716;0.7083333333333334;0.7661290322580645;0.7007299270072993;0.8091603053435115;0.7391304347826086;0.7238805970149254
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8404255319148937;0.8;0.86;0.875;0.8476190476190476;0.8020833333333334;0.8407079646017699;0.8602150537634409;0.797752808988764;0.8817204301075269
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.6861313868613139;0.717741935483871;0.65625;0.7578125;0.7364341085271318;0.6474820143884892;0.7398373983739838;0.6982758620689655;0.6834532374100719;0.6106870229007634
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7480916030534351;0.75;0.7049180327868853;0.7218045112781954;0.7096774193548387;0.7394957983193278;0.7446808510638298;0.7723577235772358;0.765625;0.7163120567375887
bow;True;False;False;False;False;False;False;False;False;comment;0.7293233082706767;0.6829268292682927;0.7603305785123967;0.7426470588235294;0.7;0.6991869918699187;0.776;0.6771653543307087;0.7433628318584071;0.6721311475409836
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8073394495412844;0.7699115044247787;0.8602150537634409;0.8404255319148937;0.8468468468468469;0.7678571428571429;0.7522123893805309;0.8041237113402062;0.8691588785046729;0.8083333333333333
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.75;0.7049180327868853;0.7007874015748031;0.7;0.7218045112781954;0.671875;0.7428571428571429;0.712;0.732824427480916;0.7352941176470589
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.68;0.6984126984126984;0.736;0.734375;0.6541353383458647;0.6940298507462687;0.7016129032258065;0.6747967479674797;0.6818181818181818;0.792
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9791666666666666;0.9206349206349206;0.9423076923076923;0.9019607843137255;0.88;0.8620689655172413;0.9629629629629629;0.8888888888888888;0.875;0.9107142857142857
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8108108108108109;0.8375;0.8295454545454546;0.7464788732394366;0.8611111111111112;0.8311688311688312;0.8333333333333334;0.7432432432432432;0.7294117647058823;0.8533333333333334
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.6614173228346457;0.6929133858267716;0.6504065040650406;0.7323943661971831;0.7557251908396947;0.6929133858267716;0.7611940298507462;0.6737588652482269;0.7092198581560284;0.751937984496124
