cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8188976377952756;0.8558558558558559;0.8383838383838383;0.8240740740740741;0.8981481481481481;0.8407079646017699;0.8454545454545455;0.78125;0.8620689655172413;0.9145299145299145
bigram;False;True;False;False;False;False;False;False;False;comment;0.18584070796460178;0.3577981651376147;0.211864406779661;0.3153153153153153;0.34545454545454546;0.37;0.23893805309734514;0.17094017094017094;0.25;0.23008849557522124
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8461538461538461;0.822429906542056;0.8653846153846154;0.8469387755102041;0.74;0.8173913043478261;0.8073394495412844;0.8412698412698413;0.8446601941747572;0.8796296296296297
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7238095238095238;0.7586206896551724;0.7450980392156863;0.7281553398058253;0.6415094339622641;0.7181818181818181;0.7155172413793104;0.7009345794392523;0.7652173913043478;0.7476635514018691
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8050847457627118;0.7777777777777778;0.8260869565217391;0.801980198019802;0.8260869565217391;0.8130841121495327;0.7256637168141593;0.773109243697479;0.8;0.7563025210084033
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7948717948717948;0.7368421052631579;0.7203389830508474;0.6929824561403509;0.7563025210084033;0.78;0.73;0.75;0.6576576576576577;0.7272727272727273
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.9026548672566371;0.8846153846153846;0.8547008547008547;0.822429906542056;0.8415841584158416;0.8636363636363636;0.8648648648648649;0.8091603053435115;0.8947368421052632;0.8434782608695652
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.6929824561403509;0.6728971962616822;0.7478260869565218;0.7264150943396226;0.7672413793103449;0.7333333333333333;0.7786885245901639;0.7207207207207207;0.7473684210526316;0.6833333333333333
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.8392857142857143;0.7876106194690266;0.8484848484848485;0.8220338983050848;0.8189655172413793;0.8333333333333334;0.8272727272727273;0.75;0.8407079646017699;0.7547169811320755
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8521739130434782;0.7777777777777778;0.8113207547169812;0.8275862068965517;0.8380952380952381;0.822429906542056;0.860655737704918;0.7983193277310925;0.8305084745762712;0.8487394957983193
bow;True;False;False;False;False;False;False;False;False;comment;0.8362068965517241;0.7850467289719626;0.8214285714285714;0.7890625;0.8348623853211009;0.7678571428571429;0.7637795275590551;0.7889908256880734;0.7304347826086957;0.7884615384615384
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7787610619469026;0.7909090909090909;0.7407407407407407;0.7053571428571429;0.7833333333333333;0.7747747747747747;0.794392523364486;0.7959183673469388;0.7815126050420168;0.8362068965517241
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8648648648648649;0.8686868686868687;0.898989898989899;0.8235294117647058;0.8888888888888888;0.9052631578947369;0.896551724137931;0.8018018018018018;0.9056603773584906;0.8771929824561403
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.8762886597938144;0.8;0.8288288288288288;0.831858407079646;0.7981651376146789;0.8230088495575221;0.8130841121495327;0.7545454545454545;0.8653846153846154;0.853448275862069
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.42727272727272725;0.5178571428571429;0.44954128440366975;0.40707964601769914;0.4;0.43103448275862066;0.45217391304347826;0.38095238095238093;0.3853211009174312;0.4358974358974359
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5357142857142857;0.5877192982456141;0.5983606557377049;0.5463917525773195;0.5636363636363636;0.5714285714285714;0.5982905982905983;0.5913978494623656;0.6078431372549019;0.5614035087719298
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.8316831683168316;0.8073394495412844;0.8163265306122449;0.8813559322033898;0.8389830508474576;0.88;0.8429752066115702;0.9313725490196079;0.8620689655172413;0.8151260504201681
