cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7441860465116279;0.787878787878788;0.8151658767772512;0.7627906976744185;0.7169811320754716;0.7297297297297297;0.75;0.7844827586206897;0.7511737089201878;0.7499999999999999
bigram;False;True;False;False;False;False;False;False;False;comment;0.49612403100775193;0.5957446808510639;0.5079365079365079;0.48854961832061067;0.6455696202531644;0.5555555555555556;0.6486486486486487;0.5116279069767442;0.3909774436090226;0.5373134328358209
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.761467889908257;0.7085201793721974;0.7837837837837838;0.8256880733944953;0.7431192660550459;0.6972477064220184;0.7348837209302326;0.7659574468085106;0.7342995169082125;0.7499999999999999
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7916666666666665;0.7182320441988951;0.8529411764705883;0.7961165048543689;0.7283236994219653;0.7340425531914895;0.7301587301587302;0.8246445497630334;0.7384615384615385;0.7922705314009661
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7562189054726368;0.826923076923077;0.7564766839378239;0.7777777777777779;0.7817258883248731;0.7757009345794392;0.7813953488372094;0.8380952380952381;0.7309644670050761;0.7575757575757576
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7904761904761903;0.7570621468926554;0.7453416149068324;0.7849462365591396;0.7817258883248732;0.7407407407407407;0.8;0.8020304568527918;0.8341708542713567;0.7553191489361702
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7929515418502203;0.7169811320754716;0.7085201793721974;0.7403846153846154;0.7272727272727273;0.771186440677966;0.7477477477477477;0.7232142857142858;0.7417840375586854;0.7550200803212851
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8102564102564103;0.7311827956989247;0.7344632768361582;0.7499999999999999;0.7738693467336684;0.7292817679558011;0.7675675675675675;0.7555555555555554;0.7752808988764045;0.8064516129032256
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.7450980392156863;0.7853881278538812;0.7255813953488373;0.7354260089686099;0.6820276497695853;0.7894736842105263;0.7192118226600985;0.7414634146341462;0.7177033492822966;0.8117154811715481
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7454545454545455;0.7263681592039801;0.7599999999999999;0.7579908675799087;0.7499999999999999;0.7887323943661972;0.7699115044247788;0.775;0.7889908256880733;0.7488151658767772
bow;True;False;False;False;False;False;False;False;False;comment;0.7464114832535884;0.7841409691629957;0.765217391304348;0.7174887892376682;0.72;0.761467889908257;0.7264150943396226;0.7161572052401746;0.7475728155339807;0.7297297297297298
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7809523809523811;0.7843137254901962;0.7897435897435896;0.7945205479452055;0.8095238095238095;0.7714285714285715;0.8018433179723502;0.7487684729064039;0.7628865979381443;0.753623188405797
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7298578199052133;0.7609756097560976;0.7452830188679245;0.7454545454545455;0.7876106194690266;0.7741935483870969;0.7567567567567568;0.7387387387387389;0.7822222222222223;0.8285714285714286
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7713004484304933;0.7499999999999999;0.7087378640776699;0.70935960591133;0.7350427350427351;0.7707317073170732;0.7863247863247863;0.681081081081081;0.7129629629629629;0.6798029556650246
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5695364238410596;0.5217391304347826;0.4927536231884058;0.5810810810810811;0.4962406015037594;0.4962406015037594;0.6119402985074627;0.618705035971223;0.4444444444444444;0.5294117647058824
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.484375;0.6134969325153374;0.6190476190476191;0.5633802816901409;0.5;0.5714285714285714;0.6533333333333333;0.6181818181818182;0.6000000000000001;0.4411764705882353
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.7129629629629629;0.7596153846153847;0.759825327510917;0.768595041322314;0.7431192660550459;0.7280701754385965;0.7717842323651453;0.7387387387387387;0.7431192660550457;0.7391304347826086
