cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6611570247933884;0.728;0.7610619469026548;0.6721311475409836;0.6386554621848739;0.6377952755905512;0.6614173228346457;0.7165354330708661;0.6896551724137931;0.6864406779661016
bigram;False;True;False;False;False;False;False;False;False;comment;0.8648648648648649;0.9545454545454546;0.8648648648648649;0.9411764705882353;0.9622641509433962;0.875;0.9411764705882353;0.9166666666666666;0.9629629629629629;0.8780487804878049
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.680327868852459;0.6030534351145038;0.71900826446281;0.7758620689655172;0.6585365853658537;0.6229508196721312;0.6528925619834711;0.6923076923076923;0.6440677966101694;0.6694214876033058
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7916666666666666;0.7471264367816092;0.8365384615384616;0.7961165048543689;0.7777777777777778;0.7752808988764045;0.711340206185567;0.8285714285714286;0.75;0.803921568627451
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7307692307692307;0.8349514563106796;0.6952380952380952;0.8020833333333334;0.7549019607843137;0.7033898305084746;0.7304347826086957;0.7927927927927928;0.6792452830188679;0.7978723404255319
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7757009345794392;0.7528089887640449;0.7692307692307693;0.8111111111111111;0.8020833333333334;0.7865168539325843;0.8085106382978723;0.8061224489795918;0.8217821782178217;0.7802197802197802
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.75;0.6666666666666666;0.5851851851851851;0.652542372881356;0.6333333333333333;0.6791044776119403;0.680327868852459;0.648;0.6528925619834711;0.6351351351351351
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8315789473684211;0.7391304347826086;0.7471264367816092;0.7674418604651163;0.7777777777777778;0.7764705882352941;0.7634408602150538;0.7391304347826086;0.8313253012048193;0.8152173913043478
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.6666666666666666;0.7350427350427351;0.6666666666666666;0.6356589147286822;0.6016260162601627;0.72;0.6636363636363637;0.6666666666666666;0.6302521008403361;0.7578125
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6456692913385826;0.6347826086956522;0.7307692307692307;0.6974789915966386;0.6639344262295082;0.7058823529411765;0.7131147540983607;0.7322834645669292;0.7478260869565218;0.6583333333333333
bow;True;False;False;False;False;False;False;False;False;comment;0.6782608695652174;0.7478991596638656;0.6821705426356589;0.64;0.648;0.664;0.6754385964912281;0.6029411764705882;0.6754385964912281;0.6585365853658537
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7592592592592593;0.7142857142857143;0.719626168224299;0.7372881355932204;0.794392523364486;0.7431192660550459;0.7909090909090909;0.7238095238095238;0.7184466019417476;0.7358490566037735
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6311475409836066;0.6842105263157895;0.7117117117117117;0.6721311475409836;0.7416666666666667;0.6942148760330579;0.6511627906976745;0.6612903225806451;0.7154471544715447;0.7699115044247787
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7226890756302521;0.6692307692307692;0.6517857142857143;0.631578947368421;0.6515151515151515;0.7247706422018348;0.7022900763358778;0.5887850467289719;0.6111111111111112;0.6106194690265486
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.8958333333333334;0.9230769230769231;0.8717948717948718;0.9347826086956522;0.9705882352941176;0.9428571428571428;0.8913043478260869;0.9347826086956522;0.875;0.9473684210526315
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8157894736842105;0.7352941176470589;0.896551724137931;0.975609756097561;0.7555555555555555;0.8076923076923077;0.8305084745762712;0.8095238095238095;0.84;0.7317073170731707
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.5877862595419847;0.6991150442477876;0.635036496350365;0.6838235294117647;0.6639344262295082;0.6148148148148148;0.6549295774647887;0.6212121212121212;0.6377952755905512;0.6159420289855072
