cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.851063829787234;0.8584905660377359;0.8775510204081632;0.8817204301075269;0.8172043010752689;0.8526315789473684;0.865979381443299;0.8666666666666667;0.8247422680412371;0.826530612244898
bigram;False;True;False;False;False;False;False;False;False;comment;0.34782608695652173;0.4329896907216495;0.3595505617977528;0.32989690721649484;0.4857142857142857;0.4069767441860465;0.4948453608247423;0.3548387096774194;0.24528301886792453;0.3870967741935484
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8645833333333334;0.8586956521739131;0.8613861386138614;0.8823529411764706;0.8526315789473684;0.7916666666666666;0.8404255319148937;0.8571428571428571;0.8539325842696629;0.8526315789473684
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7916666666666666;0.6914893617021277;0.87;0.7961165048543689;0.6847826086956522;0.696969696969697;0.75;0.8207547169811321;0.7272727272727273;0.780952380952381
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7835051546391752;0.819047619047619;0.8295454545454546;0.7549019607843137;0.8105263157894737;0.8645833333333334;0.84;0.8888888888888888;0.7912087912087912;0.7211538461538461
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8058252427184466;0.7613636363636364;0.7228915662650602;0.7604166666666666;0.7623762376237624;0.7;0.7916666666666666;0.797979797979798;0.8469387755102041;0.7319587628865979
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8411214953271028;0.7755102040816326;0.8977272727272727;0.8555555555555555;0.8539325842696629;0.8921568627450981;0.83;0.8181818181818182;0.8586956521739131;0.9306930693069307
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.79;0.723404255319149;0.7222222222222222;0.7333333333333333;0.77;0.6875;0.7717391304347826;0.7727272727272727;0.7263157894736842;0.7978723404255319
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.8444444444444444;0.8431372549019608;0.7959183673469388;0.8723404255319149;0.7872340425531915;0.8737864077669902;0.7849462365591398;0.8351648351648352;0.8333333333333334;0.8738738738738738
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8817204301075269;0.8488372093023255;0.7916666666666666;0.83;0.8617021276595744;0.8936170212765957;0.8365384615384616;0.8230088495575221;0.8349514563106796;0.8681318681318682
bow;True;False;False;False;False;False;False;False;False;comment;0.8297872340425532;0.8240740740740741;0.8712871287128713;0.8163265306122449;0.81;0.8924731182795699;0.7857142857142857;0.8817204301075269;0.8369565217391305;0.8181818181818182
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.803921568627451;0.8695652173913043;0.875;0.8613861386138614;0.8252427184466019;0.801980198019802;0.8130841121495327;0.7755102040816326;0.8131868131868132;0.7722772277227723
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8651685393258427;0.8571428571428571;0.7821782178217822;0.8367346938775511;0.839622641509434;0.875;0.9032258064516129;0.8367346938775511;0.8627450980392157;0.8969072164948454
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.8269230769230769;0.8529411764705882;0.776595744680851;0.8089887640449438;0.8431372549019608;0.8229166666666666;0.8932038834951457;0.8076923076923077;0.8555555555555555;0.7666666666666667
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.4174757281553398;0.36363636363636365;0.3434343434343434;0.4215686274509804;0.3333333333333333;0.336734693877551;0.4659090909090909;0.46236559139784944;0.2978723404255319;0.3673469387755102
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.34444444444444444;0.5263157894736842;0.4727272727272727;0.39603960396039606;0.37362637362637363;0.4421052631578947;0.5384615384615384;0.5;0.4666666666666667;0.3157894736842105
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.9058823529411765;0.8315789473684211;0.9456521739130435;0.8773584905660378;0.84375;0.8924731182795699;0.9393939393939394;0.9111111111111111;0.8901098901098901;0.9239130434782609
