cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7246376811594204;0.7196261682242991;0.7171717171717172;0.7083333333333333;0.7264150943396226;0.6373626373626373;0.7246376811594204;0.7357512953367876;0.7272727272727273;0.7272727272727273
bigram;False;True;False;False;False;False;False;False;False;comment;0.6859205776173286;0.7006802721088435;0.7563636363636363;0.7083333333333334;0.7420494699646643;0.6789667896678966;0.7122302158273381;0.7197231833910034;0.717948717948718;0.7608695652173914
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7425742574257426;0.7887323943661972;0.6595744680851063;0.6930693069306931;0.6985645933014353;0.5662650602409638;0.6981132075471698;0.7487179487179488;0.6875;0.7272727272727273
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7843137254901962;0.7289719626168224;0.7913043478260869;0.7665198237885462;0.7671232876712328;0.7377777777777778;0.766355140186916;0.7733333333333333;0.7601809954751131;0.8035714285714286
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8115942028985507;0.7623318385650224;0.6930693069306931;0.7960199004975124;0.7735849056603775;0.7692307692307692;0.7692307692307692;0.7572815533980581;0.7230046948356809;0.7443946188340809
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.801762114537445;0.7866108786610879;0.7417840375586854;0.7671232876712328;0.7867298578199052;0.7725321888412018;0.7564766839378237;0.7837837837837838;0.815450643776824;0.7896995708154506
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6378378378378379;0.69;0.736318407960199;0.6629213483146068;0.708994708994709;0.6630434782608696;0.7065217391304348;0.6195652173913043;0.7064676616915423;0.6195652173913043
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7857142857142856;0.7579908675799087;0.75;0.7488986784140969;0.7659574468085107;0.7707317073170732;0.779816513761468;0.7735849056603773;0.7443946188340809;0.7916666666666665
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.7121951219512195;0.693877551020408;0.6735751295336787;0.6210526315789474;0.6903553299492386;0.6192893401015228;0.6760563380281691;0.6923076923076923;0.632768361581921;0.6010928961748634
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.69;0.702970297029703;0.6865671641791045;0.6666666666666666;0.7184466019417476;0.7264150943396227;0.6995073891625615;0.7383177570093459;0.7254901960784313;0.737864077669903
bow;True;False;False;False;False;False;False;False;False;comment;0.6666666666666666;0.6666666666666666;0.6865671641791046;0.6878306878306879;0.6666666666666666;0.6310160427807487;0.6632124352331606;0.676923076923077;0.7127659574468085;0.6272189349112426
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7301587301587302;0.7533632286995516;0.7802690582959642;0.7403846153846154;0.7087378640776698;0.7411167512690356;0.783410138248848;0.7553648068669527;0.7671232876712328;0.7352941176470589
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7524752475247525;0.7559808612440192;0.689655172413793;0.7157894736842105;0.6632653061224489;0.7980295566502464;0.7452830188679245;0.731958762886598;0.7135135135135134;0.6947368421052631
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6593406593406593;0.7253886010362695;0.6594594594594595;0.6994535519125683;0.6910994764397906;0.6732673267326732;0.7069767441860465;0.7106598984771574;0.7142857142857143;0.6788990825688073
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7547169811320754;0.7555555555555555;0.7320754716981132;0.7698113207547169;0.8464163822525596;0.7418181818181817;0.7203065134099617;0.7686832740213523;0.736;0.7426470588235293
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7385892116182573;0.7049808429118775;0.734848484848485;0.739622641509434;0.7634854771784232;0.7211895910780669;0.758364312267658;0.7619047619047619;0.7768595041322315;0.7131782945736433
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.6868686868686867;0.7246376811594202;0.6779661016949152;0.6666666666666666;0.7010309278350515;0.64;0.7015706806282722;0.7524752475247525;0.6875;0.711340206185567
