cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7978723404255319;0.8369565217391305;0.8352941176470589;0.85;0.7938144329896907;0.7733333333333333;0.8333333333333334;0.8452380952380952;0.8095238095238095;0.8351648351648352
bigram;False;True;False;False;False;False;False;False;False;comment;0.5459770114942529;0.5567567567567567;0.6540880503144654;0.5666666666666667;0.6140350877192983;0.5348837209302325;0.5789473684210527;0.5683060109289617;0.5868263473053892;0.6645569620253164
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8522727272727273;0.8842105263157894;0.7654320987654321;0.8433734939759037;0.8690476190476191;0.7230769230769231;0.8222222222222222;0.8588235294117647;0.8148148148148148;0.7912087912087912
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7920792079207921;0.7428571428571429;0.7711864406779662;0.8365384615384616;0.8235294117647058;0.7477477477477478;0.7884615384615384;0.7631578947368421;0.7567567567567568;0.8181818181818182
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8316831683168316;0.8095238095238095;0.7070707070707071;0.8080808080808081;0.7961165048543689;0.8;0.7870370370370371;0.8387096774193549;0.7623762376237624;0.7904761904761904
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7982456140350878;0.8034188034188035;0.7669902912621359;0.7850467289719626;0.7685185185185185;0.782608695652174;0.7604166666666666;0.8446601941747572;0.8050847457627118;0.8288288288288288
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7866666666666666;0.7752808988764045;0.8809523809523809;0.8194444444444444;0.8072289156626506;0.7721518987341772;0.8227848101265823;0.7808219178082192;0.8160919540229885;0.7808219178082192
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7719298245614035;0.7904761904761904;0.7567567567567568;0.7727272727272727;0.7692307692307693;0.8315789473684211;0.794392523364486;0.7663551401869159;0.7155172413793104;0.7916666666666666
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.8690476190476191;0.7640449438202247;0.7558139534883721;0.7468354430379747;0.7727272727272727;0.7176470588235294;0.8181818181818182;0.8888888888888888;0.7777777777777778;0.6875
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8023255813953488;0.8987341772151899;0.8518518518518519;0.8421052631578947;0.7628865979381443;0.8020833333333334;0.8352941176470589;0.79;0.8131868131868132;0.8172043010752689
bow;True;False;False;False;False;False;False;False;False;comment;0.8513513513513513;0.7560975609756098;0.7752808988764045;0.8227848101265823;0.7019230769230769;0.7662337662337663;0.8205128205128205;0.825;0.7790697674418605;0.828125
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8117647058823529;0.8076923076923077;0.8055555555555556;0.7857142857142857;0.7934782608695652;0.8295454545454546;0.8415841584158416;0.7787610619469026;0.8316831683168316;0.7894736842105263
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.9156626506024096;0.8144329896907216;0.821917808219178;0.8292682926829268;0.7831325301204819;0.8350515463917526;0.8586956521739131;0.8160919540229885;0.8461538461538461;0.825
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7317073170731707;0.7865168539325843;0.7349397590361446;0.7619047619047619;0.825;0.7472527472527473;0.8;0.8536585365853658;0.8433734939759037;0.8222222222222222
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6451612903225806;0.6666666666666666;0.60625;0.6666666666666666;0.7469879518072289;0.6144578313253012;0.6064516129032258;0.6666666666666666;0.6258503401360545;0.6352201257861635
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.664179104477612;0.6052631578947368;0.6139240506329114;0.6405228758169934;0.6865671641791045;0.610062893081761;0.6623376623376623;0.6797385620915033;0.6811594202898551;0.5974025974025974
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.8292682926829268;0.8426966292134831;0.8450704225352113;0.7631578947368421;0.7816091954022989;0.7710843373493976;0.8170731707317073;0.8837209302325582;0.8571428571428571;0.8214285714285714
