cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6637168141592921;0.6311475409836066;0.6283185840707964;0.6071428571428571;0.6695652173913044;0.5420560747663551;0.6410256410256411;0.6513761467889908;0.6601941747572816;0.6440677966101694
bigram;False;True;False;False;False;False;False;False;False;comment;0.9223300970873787;0.944954128440367;0.896551724137931;0.9444444444444444;0.9375;0.9292929292929293;0.9252336448598131;0.9811320754716981;0.9245283018867925;0.8898305084745762
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6578947368421053;0.711864406779661;0.5794392523364486;0.5882352941176471;0.584;0.46534653465346537;0.6065573770491803;0.6636363636363637;0.5945945945945946;0.6728971962616822
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7766990291262136;0.7155963302752294;0.8125;0.7073170731707317;0.717948717948718;0.7280701754385965;0.7454545454545455;0.7837837837837838;0.7636363636363637;0.7894736842105263
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7924528301886793;0.7203389830508474;0.6796116504854369;0.7843137254901961;0.7522935779816514;0.7407407407407407;0.7522123893805309;0.6902654867256637;0.6875;0.7033898305084746
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8053097345132744;0.7704918032786885;0.7181818181818181;0.75;0.8058252427184466;0.7627118644067796;0.7525773195876289;0.7310924369747899;0.8260869565217391;0.7540983606557377
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.5363636363636364;0.6216216216216216;0.6324786324786325;0.5566037735849056;0.6320754716981132;0.580952380952381;0.6190476190476191;0.5135135135135135;0.6228070175438597;0.5135135135135135
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8;0.7280701754385965;0.7433628318584071;0.7264957264957265;0.7627118644067796;0.7181818181818181;0.7657657657657657;0.780952380952381;0.7757009345794392;0.7916666666666666
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.6033057851239669;0.6355140186915887;0.6074766355140186;0.5315315315315315;0.6238532110091743;0.5446428571428571;0.576;0.5669291338582677;0.5333333333333333;0.5339805825242718
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6052631578947368;0.5772357723577236;0.575;0.5517241379310345;0.6788990825688074;0.6637931034482759;0.6016949152542372;0.6929824561403509;0.6548672566371682;0.672566371681416
bow;True;False;False;False;False;False;False;False;False;comment;0.5478260869565217;0.5961538461538461;0.6160714285714286;0.5909090909090909;0.6347826086956522;0.5363636363636364;0.5565217391304348;0.5739130434782609;0.6568627450980392;0.5047619047619047
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6634615384615384;0.7058823529411765;0.7565217391304347;0.7;0.6403508771929824;0.6697247706422018;0.7327586206896551;0.7333333333333333;0.711864406779661;0.6880733944954128
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6386554621848739;0.7053571428571429;0.594059405940594;0.6296296296296297;0.5752212389380531;0.7641509433962265;0.6583333333333333;0.6635514018691588;0.616822429906542;0.6
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6;0.6730769230769231;0.5980392156862745;0.6464646464646465;0.5945945945945946;0.6126126126126126;0.6333333333333333;0.6086956521739131;0.6194690265486725;0.578125
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9090909090909091;0.8717948717948718;0.9238095238095239;0.9107142857142857;0.9763779527559056;0.9357798165137615;0.8867924528301887;0.907563025210084;0.8932038834951457;0.8938053097345132
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8317757009345794;0.8440366972477065;0.9150943396226415;0.875;0.8598130841121495;0.8818181818181818;0.8869565217391304;0.8666666666666667;0.9038461538461539;0.8846153846153846
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.5862068965517241;0.635593220338983;0.5660377358490566;0.5918367346938775;0.6355140186915887;0.5470085470085471;0.6146788990825688;0.6551724137931034;0.5739130434782609;0.6272727272727273
