cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8281249999999999;0.7966804979253111;0.8548387096774193;0.8607594936708862;0.8046875000000001;0.8240343347639486;0.8448275862068966;0.8340080971659918;0.8063241106719368;0.8157894736842106
bigram;False;True;False;False;False;False;False;False;False;comment;0.4905660377358491;0.5443037974683544;0.6075949367088607;0.5906040268456375;0.6787878787878788;0.6308724832214765;0.6749999999999999;0.4109589041095891;0.5874125874125874;0.5789473684210527
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7892720306513409;0.7698744769874476;0.8156862745098039;0.7530364372469635;0.8045977011494253;0.8153846153846154;0.8205128205128205;0.752;0.7499999999999999;0.7841409691629957
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7788461538461539;0.8097560975609758;0.7772020725388601;0.8148148148148148;0.8;0.8307692307692307;0.872037914691943;0.8585365853658536;0.8172043010752688;0.861244019138756
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8224299065420562;0.8597285067873305;0.835820895522388;0.8374384236453202;0.8062827225130891;0.8186046511627907;0.8125;0.8396226415094341;0.8;0.8436018957345971
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.814814814814815;0.851851851851852;0.8056872037914692;0.8380952380952381;0.8341232227488152;0.8151658767772512;0.8506787330316741;0.8292682926829267;0.8730964467005076;0.8738738738738739
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7804878048780488;0.7734375000000001;0.8294573643410853;0.7791164658634538;0.8327402135231315;0.7952755905511809;0.7302904564315352;0.787878787878788;0.7196652719665272;0.7777777777777779
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7894736842105263;0.8173076923076923;0.8416289592760182;0.8216216216216217;0.8272727272727272;0.803921568627451;0.7738693467336684;0.8018867924528302;0.8807339449541286;0.8235294117647058
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.7816091954022989;0.8199233716475095;0.8097165991902835;0.7368421052631579;0.7800829875518672;0.7868852459016394;0.7734375000000001;0.7704918032786884;0.7325102880658435;0.8029739776951673
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8244897959183674;0.765432098765432;0.7890625;0.8110236220472442;0.8401486988847584;0.8163265306122448;0.7883817427385893;0.8381742738589211;0.768595041322314;0.7833333333333333
bow;True;False;False;False;False;False;False;False;False;comment;0.7559055118110237;0.75;0.8030303030303031;0.7543859649122806;0.7630522088353414;0.7725321888412018;0.782608695652174;0.7716535433070868;0.81203007518797;0.7966101694915255
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8080808080808082;0.863157894736842;0.8056872037914692;0.8285714285714286;0.8482142857142858;0.8247422680412372;0.8355555555555555;0.8151658767772512;0.8425925925925926;0.8223350253807106
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8016877637130801;0.83739837398374;0.8189655172413794;0.8135593220338984;0.7822222222222223;0.7916666666666667;0.8467741935483872;0.8392156862745097;0.7863247863247863;0.8240343347639485
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.8015564202334631;0.7555555555555554;0.7953667953667954;0.8372093023255812;0.83271375464684;0.7953667953667953;0.7398373983739837;0.7791164658634537;0.8130081300813008;0.7849056603773584
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7692307692307692;0.7619047619047619;0.729559748427673;0.7362637362637363;0.7724867724867724;0.6368715083798883;0.7619047619047619;0.7228915662650602;0.7643979057591622;0.6999999999999998
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8121827411167513;0.7849462365591396;0.7772020725388601;0.7419354838709676;0.7608695652173915;0.7755102040816326;0.7748691099476439;0.7761194029850748;0.6990291262135924;0.8
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.8015267175572519;0.7715355805243446;0.7294117647058823;0.75;0.801556420233463;0.7885304659498209;0.7398373983739837;0.7509881422924901;0.7918367346938776;0.7781818181818181
