cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.762589928057554;0.732824427480916;0.8346456692913385;0.8225806451612904;0.7202797202797203;0.7441860465116279;0.7967479674796748;0.7686567164179104;0.75;0.75
bigram;False;True;False;False;False;False;False;False;False;comment;1.0;0.9772727272727273;1.0;0.9777777777777777;1.0;0.9791666666666666;0.9818181818181818;1.0;0.9545454545454546;0.9777777777777777
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7152777777777778;0.6814814814814815;0.7819548872180451;0.6838235294117647;0.7446808510638298;0.7412587412587412;0.7741935483870968;0.7175572519083969;0.6940298507462687;0.7355371900826446
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.84375;0.9325842696629213;0.872093023255814;0.8888888888888888;0.8571428571428571;0.9529411764705882;0.92;0.9263157894736842;0.8941176470588236;0.9375
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8627450980392157;0.8962264150943396;0.865979381443299;0.8854166666666666;0.8555555555555555;0.9263157894736842;0.8504672897196262;0.8811881188118812;0.84;0.9270833333333334
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8953488372093024;0.92;0.8333333333333334;0.8888888888888888;0.8712871287128713;0.8431372549019608;0.9215686274509803;0.9139784946236559;0.945054945054945;0.9509803921568627
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6666666666666666;0.678082191780822;0.781021897810219;0.708029197080292;0.7647058823529411;0.696551724137931;0.624113475177305;0.7027027027027027;0.6099290780141844;0.6687898089171974
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.872093023255814;0.8762886597938144;0.9029126213592233;0.8941176470588236;0.900990099009901;0.8817204301075269;0.9058823529411765;0.8854166666666666;0.897196261682243;0.8555555555555555
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.7034482758620689;0.7697841726618705;0.7352941176470589;0.6546762589928058;0.706766917293233;0.7384615384615385;0.678082191780822;0.6714285714285714;0.6496350364963503;0.7105263157894737
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7769230769230769;0.7099236641221374;0.7214285714285714;0.7803030303030303;0.773972602739726;0.7407407407407407;0.7196969696969697;0.7952755905511811;0.7153846153846154;0.7121212121212122
bow;True;False;False;False;False;False;False;False;False;comment;0.6486486486486487;0.6904761904761905;0.7162162162162162;0.671875;0.6506849315068494;0.72;0.6875;0.7153284671532847;0.7397260273972602;0.7286821705426356
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.851063829787234;0.9318181818181818;0.8673469387755102;0.8529411764705882;0.9047619047619048;0.8695652173913043;0.9038461538461539;0.8775510204081632;0.8666666666666667;0.8804347826086957
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.76;0.7862595419847328;0.7480314960629921;0.7559055118110236;0.6929133858267716;0.7142857142857143;0.7720588235294118;0.8106060606060606;0.7076923076923077;0.7559055118110236
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7357142857142858;0.6496815286624203;0.7054794520547946;0.7941176470588235;0.7943262411347518;0.7152777777777778;0.6546762589928058;0.7028985507246377;0.7751937984496124;0.6887417218543046
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9722222222222222;0.972972972972973;0.9830508474576272;0.9571428571428572;1.0;0.9661016949152542;0.9846153846153847;0.967741935483871;0.9358974358974359;0.9692307692307692
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8791208791208791;0.8902439024390244;0.7978723404255319;0.8961038961038961;0.875;0.95;0.891566265060241;0.8764044943820225;0.8181818181818182;0.865979381443299
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.7191780821917808;0.6821192052980133;0.6241610738255033;0.6617647058823529;0.6866666666666666;0.6832298136645962;0.6319444444444444;0.6506849315068494;0.751937984496124;0.6815286624203821
