cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.703125;0.6538461538461539;0.6934306569343066;0.6901408450704225;0.696;0.6666666666666666;0.6818181818181818;0.7246376811594203;0.7463768115942029;0.6793893129770993
bigram;False;True;False;False;False;False;False;False;False;comment;0.8333333333333334;0.8378378378378378;0.8095238095238095;0.8571428571428571;0.8627450980392157;0.86;0.8431372549019608;0.9487179487179487;0.8545454545454545;0.796875
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7089552238805971;0.7322834645669292;0.6808510638297872;0.6474820143884892;0.6231884057971014;0.6560509554140127;0.6363636363636364;0.7299270072992701;0.6808510638297872;0.732824427480916
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.8099173553719008;0.7350427350427351;0.7980769230769231;0.6949152542372882;0.725;0.7207207207207207;0.7627118644067796;0.7777777777777778;0.7657657657657657;0.7857142857142857
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8181818181818182;0.717948717948718;0.7317073170731707;0.8211382113821138;0.773109243697479;0.7704918032786885;0.7543859649122807;0.7286821705426356;0.7107438016528925;0.7008547008547008
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7962962962962963;0.7333333333333333;0.7394957983193278;0.7565217391304347;0.8245614035087719;0.7383177570093458;0.8095238095238095;0.7310924369747899;0.8076923076923077;0.7297297297297297
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6530612244897959;0.6842105263157895;0.6884057971014492;0.6866666666666666;0.7194244604316546;0.6923076923076923;0.7202797202797203;0.6375838926174496;0.6814814814814815;0.6375838926174496
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7962962962962963;0.7350427350427351;0.7387387387387387;0.7142857142857143;0.7333333333333333;0.7559055118110236;0.7739130434782608;0.8;0.7735849056603774;0.7549019607843137
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.6521739130434783;0.706766917293233;0.6911764705882353;0.6363636363636364;0.6940298507462687;0.6277372262773723;0.6044776119402985;0.6099290780141844;0.6733333333333333;0.6619718309859155
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6691176470588235;0.6363636363636364;0.6382978723404256;0.6438356164383562;0.72;0.6904761904761905;0.656934306569343;0.7131147540983607;0.7022900763358778;0.7131782945736435
bow;True;False;False;False;False;False;False;False;False;comment;0.6486486486486487;0.7;0.6766917293233082;0.6853146853146853;0.6440677966101694;0.6482758620689655;0.6458333333333334;0.6549295774647887;0.7426470588235294;0.6708860759493671
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7445255474452555;0.7033898305084746;0.7543859649122807;0.7338709677419355;0.6846153846153846;0.7313432835820896;0.743801652892562;0.7064220183486238;0.71900826446281;0.7322834645669292
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6906474820143885;0.736;0.7248322147651006;0.7142857142857143;0.6546762589928058;0.8;0.6846153846153846;0.7333333333333333;0.7152777777777778;0.6901408450704225
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7142857142857143;0.7443609022556391;0.7050359712230215;0.7463768115942029;0.6830985915492958;0.6717557251908397;0.6535433070866141;0.6785714285714286;0.6906474820143885;0.5909090909090909
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.8507462686567164;0.782608695652174;0.8709677419354839;0.855072463768116;0.9464285714285714;0.875;0.8208955223880597;0.8166666666666667;0.8533333333333334;0.8095238095238095
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7954545454545454;0.7571428571428571;0.859375;0.7971014492753623;0.8295454545454546;0.7936507936507936;0.8088235294117647;0.7681159420289855;0.8809523809523809;0.8235294117647058
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.6571428571428571;0.6766917293233082;0.695364238410596;0.726027397260274;0.7111111111111111;0.6187050359712231;0.7;0.7058823529411765;0.6620689655172414;0.7028985507246377
