cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8256880733944955;0.85;0.8715596330275229;0.8909090909090909;0.8130841121495327;0.8521739130434782;0.8571428571428571;0.8849557522123894;0.865546218487395;0.8557692307692307
bigram;False;True;False;False;False;False;False;False;False;comment;0.33613445378151263;0.2743362831858407;0.4811320754716981;0.3157894736842105;0.4;0.34959349593495936;0.3739130434782609;0.31896551724137934;0.4051724137931034;0.49038461538461536
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8796296296296297;0.8942307692307693;0.8347826086956521;0.8737864077669902;0.8865979381443299;0.8512396694214877;0.84;0.8928571428571429;0.8648648648648649;0.8347826086956521
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.8235294117647058;0.7610619469026548;0.7545454545454545;0.8282828282828283;0.8285714285714286;0.7407407407407407;0.8035714285714286;0.7567567567567568;0.7589285714285714;0.8148148148148148
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.853448275862069;0.8076923076923077;0.7563025210084033;0.8416666666666667;0.8141592920353983;0.8245614035087719;0.7889908256880734;0.8623853211009175;0.7818181818181819;0.7884615384615384
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7889908256880734;0.77;0.7857142857142857;0.7909090909090909;0.7899159663865546;0.7596153846153846;0.816;0.8446601941747572;0.7850467289719626;0.81
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8571428571428571;0.8198198198198198;0.9047619047619048;0.8879310344827587;0.8620689655172413;0.8461538461538461;0.8803418803418803;0.8558558558558559;0.8518518518518519;0.8558558558558559
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7678571428571429;0.7962962962962963;0.7522935779816514;0.7619047619047619;0.7403846153846154;0.8571428571428571;0.8018018018018018;0.7863247863247863;0.7130434782608696;0.7549019607843137
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.8910891089108911;0.8173913043478261;0.8173913043478261;0.8198198198198198;0.8230088495575221;0.7818181818181819;0.8350515463917526;0.9052631578947369;0.8632478632478633;0.7899159663865546
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8425925925925926;0.9191919191919192;0.8823529411764706;0.8867924528301887;0.7964601769911505;0.8207547169811321;0.8653846153846154;0.8055555555555556;0.8440366972477065;0.8440366972477065
bow;True;False;False;False;False;False;False;False;False;comment;0.897196261682243;0.8305084745762712;0.8181818181818182;0.875;0.7102803738317757;0.8392857142857143;0.8691588785046729;0.8691588785046729;0.8416666666666667;0.905982905982906
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.864406779661017;0.8058252427184466;0.8037383177570093;0.8125;0.8240740740740741;0.8672566371681416;0.8490566037735849;0.7549019607843137;0.8365384615384616;0.8230088495575221
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.9320388349514563;0.8363636363636363;0.8925619834710744;0.8771929824561403;0.8348623853211009;0.8620689655172413;0.8725490196078431;0.8608695652173913;0.8956521739130435;0.875
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.819672131147541;0.8389830508474576;0.8166666666666667;0.8373983739837398;0.8738738738738738;0.7927927927927928;0.8137254901960784;0.8878504672897196;0.8807339449541285;0.8297872340425532
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5089285714285714;0.5142857142857142;0.46153846153846156;0.5363636363636364;0.5578947368421052;0.4336283185840708;0.47413793103448276;0.47572815533980584;0.5378151260504201;0.46788990825688076
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6086956521739131;0.4690265486725664;0.47413793103448276;0.5;0.6347826086956522;0.44642857142857145;0.514018691588785;0.5196078431372549;0.6271186440677966;0.4745762711864407
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.8679245283018868;0.8653846153846154;0.9051724137931034;0.8548387096774194;0.8347826086956521;0.819047619047619;0.8672566371681416;0.9056603773584906;0.897196261682243;0.8660714285714286
