cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7659574468085107;0.7586206896551724;0.8163265306122448;0.8405797101449275;0.7340425531914894;0.8056872037914692;0.830188679245283;0.7918781725888325;0.7434554973821991;0.8055555555555557
bigram;False;True;False;False;False;False;False;False;False;comment;0.7157894736842105;0.7482517482517482;0.7832167832167831;0.7932203389830509;0.8100358422939068;0.8135593220338984;0.8169014084507042;0.7114093959731544;0.8039867109634552;0.7808219178082192
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6994535519125683;0.7317073170731707;0.7513227513227512;0.6903553299492385;0.7213114754098361;0.7391304347826088;0.8;0.6804123711340206;0.6836734693877551;0.7741935483870969
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.8050847457627118;0.8368200836820083;0.8286852589641435;0.824561403508772;0.8433734939759037;0.8674698795180724;0.8841201716738197;0.8786610878661089;0.8682170542635658;0.876595744680851
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8347826086956521;0.8609865470852018;0.8641975308641976;0.8630705394190871;0.8537549407114625;0.8296943231441049;0.8090909090909092;0.853448275862069;0.8205128205128205;0.8583690987124464
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8627450980392156;0.8596491228070174;0.8240343347639486;0.8547008547008548;0.849785407725322;0.8326180257510728;0.8520179372197308;0.8535564853556485;0.8987854251012146;0.8738738738738739
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7272727272727273;0.6914893617021277;0.7634408602150538;0.717948717948718;0.7116564417177914;0.7263157894736841;0.6798029556650247;0.6888888888888889;0.6731707317073171;0.6551724137931034
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.84251968503937;0.8389830508474575;0.8430493273542601;0.8725868725868726;0.830357142857143;0.8333333333333334;0.8163265306122448;0.8189655172413793;0.8849557522123894;0.8715953307392996
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.6885245901639344;0.7431693989071038;0.7614213197969543;0.6700507614213198;0.7389162561576355;0.74;0.6914893617021277;0.72;0.6766169154228855;0.6971428571428572
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7839195979899498;0.7164179104477613;0.7127659574468085;0.7473684210526316;0.7542857142857143;0.7738693467336684;0.748768472906404;0.8078817733990148;0.7227722772277227;0.7450980392156863
bow;True;False;False;False;False;False;False;False;False;comment;0.6736842105263158;0.7264150943396227;0.7111111111111111;0.7407407407407407;0.6974358974358974;0.7488151658767772;0.712041884816754;0.6947368421052631;0.7191011235955056;0.7692307692307692
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8455284552845528;0.8976377952755906;0.8240343347639486;0.8461538461538463;0.8454545454545456;0.864;0.8310502283105023;0.8326180257510728;0.8508771929824561;0.8582995951417005
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7729468599033815;0.797979797979798;0.8018867924528302;0.7884615384615385;0.776255707762557;0.7549019607843137;0.8061224489795918;0.7830687830687831;0.7619047619047619;0.8056872037914692
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7272727272727273;0.6206896551724138;0.7135135135135136;0.7741935483870969;0.7428571428571428;0.7135135135135134;0.6767676767676768;0.717948717948718;0.7676767676767677;0.6815642458100559
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.8396946564885496;0.8235294117647058;0.8491228070175438;0.816793893129771;0.8313725490196079;0.7547169811320755;0.855072463768116;0.8345323741007195;0.8221343873517787;0.7954545454545455
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8502024291497975;0.8449612403100775;0.8286852589641435;0.813953488372093;0.8307692307692307;0.8225806451612903;0.8300395256916997;0.8148148148148148;0.7394957983193278;0.8205128205128205
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.7142857142857143;0.655367231638418;0.6349206349206349;0.7058823529411765;0.7272727272727273;0.6424242424242423;0.6767676767676768;0.6701570680628273;0.743718592964824;0.6390532544378698
