cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8719469329655452;0.7224661141242212;0.7892292038975685;4.682599973678589
bigram;False;True;False;False;False;False;False;False;False;comment;0.6404111008023579;0.994049887833709;0.777719294165913;0.9340999603271485
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8122070965021182;0.6597692514057844;0.7271560249359046;6.720100045204163
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7930641877546976;0.919673662521584;0.8513588923895957;7.592500019073486
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.80318272477507;0.8919269637367864;0.8447907594097952;6.301000046730041
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8089651418226221;0.9099171892126444;0.8561766565337899;7.670300030708313
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8592311835096866;0.5977198645461677;0.7035158888384436;4.7052000045776365
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7939232357432686;0.9051613979133007;0.845267254282375;5.76010000705719
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.8356517637874485;0.6229728500652201;0.7127331460714817;4.678099989891052
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8344000506177152;0.6841888216770763;0.7513147510705362;6.762299966812134
bow;True;False;False;False;False;False;False;False;False;comment;0.8442632501597782;0.6292884053152978;0.7193312839778756;6.307099986076355
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8085969792323379;0.8954178686895735;0.8495654019118215;5.463900017738342
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8715803187327896;0.714918030399214;0.7849215855089025;4.500100040435791
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.833121234001435;0.6278711935327521;0.7135997508919625;4.88800003528595
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7081582165873214;0.981845831433137;0.8222424069227413;0.9289999961853027
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7520082320219107;0.9029092033378442;0.8196015252065296;0.7224999904632569
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.8472136357983706;0.5720907011009514;0.680984949571611;5.1128000020980835
