cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8674698795180723;0.8461538461538461;0.8421052631578947;0.8877551020408163;0.8734177215189873;0.9139784946236559;0.8888888888888888;0.8863636363636364;0.8255813953488372;0.8877551020408163
bigram;False;True;False;False;False;False;False;False;False;comment;0.5573770491803278;0.601123595505618;0.6436781609195402;0.6610169491525424;0.6807228915662651;0.6896551724137931;0.6946107784431138;0.5520833333333334;0.6797752808988764;0.6440677966101694
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8205128205128205;0.8620689655172413;0.797752808988764;0.7906976744186046;0.8148148148148148;0.8607594936708861;0.8571428571428571;0.7252747252747253;0.7613636363636364;0.8316831683168316
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.753968253968254;0.7518796992481203;0.7647058823529411;0.7642276422764228;0.8015267175572519;0.7883211678832117;0.8442622950819673;0.8267716535433071;0.8175182481751825;0.8174603174603174
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8;0.8275862068965517;0.84;0.8253968253968254;0.8181818181818182;0.7480314960629921;0.7739130434782608;0.8181818181818182;0.7868852459016393;0.7936507936507936
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8088235294117647;0.8032786885245902;0.8;0.8130081300813008;0.8181818181818182;0.8083333333333333;0.7916666666666666;0.7906976744186046;0.8473282442748091;0.8083333333333333
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.9230769230769231;0.8552631578947368;0.8352941176470589;0.8235294117647058;0.8405797101449275;0.8961038961038961;0.8518518518518519;0.8378378378378378;0.8518518518518519;0.8769230769230769
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7867647058823529;0.792;0.7899159663865546;0.8248175182481752;0.768595041322314;0.7751937984496124;0.7299270072992701;0.753968253968254;0.8695652173913043;0.8484848484848485
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.8181818181818182;0.8192771084337349;0.872093023255814;0.7951807228915663;0.8426966292134831;0.8043478260869565;0.8552631578947368;0.8780487804878049;0.8;0.8714285714285714
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8478260869565217;0.7912087912087912;0.8170731707317073;0.7888888888888889;0.868421052631579;0.8850574712643678;0.8444444444444444;0.8631578947368421;0.7934782608695652;0.8444444444444444
bow;True;False;False;False;False;False;False;False;False;comment;0.8648648648648649;0.8020833333333334;0.8648648648648649;0.851063829787234;0.8947368421052632;0.8144329896907216;0.8717948717948718;0.7764705882352941;0.8421052631578947;0.8602150537634409
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8125;0.8507462686567164;0.7741935483870968;0.825;0.7948717948717948;0.8307692307692308;0.7711864406779662;0.782258064516129;0.8290598290598291;0.8153846153846154
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8247422680412371;0.8681318681318682;0.8947368421052632;0.8631578947368421;0.8947368421052632;0.8651685393258427;0.9186046511627907;0.8222222222222222;0.8695652173913043;0.8947368421052632
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.8292682926829268;0.8307692307692308;0.868421052631579;0.8372093023255814;0.8024691358024691;0.8461538461538461;0.8072289156626506;0.8333333333333334;0.8172043010752689;0.8591549295774648
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7333333333333333;0.7094594594594594;0.7423312883435583;0.7039473684210527;0.7114093959731543;0.6134969325153374;0.7515923566878981;0.725;0.7222222222222222;0.6687898089171974
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8015267175572519;0.7785714285714286;0.8125;0.7241379310344828;0.7605633802816901;0.7183098591549296;0.7553956834532374;0.7443609022556391;0.6567164179104478;0.768
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.8552631578947368;0.8169014084507042;0.821917808219178;0.8372093023255814;0.9444444444444444;0.8688524590163934;0.8589743589743589;0.8421052631578947;0.7956989247311828;0.8307692307692308
