cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6857142857142857;0.6875;0.7920792079207921;0.7981651376146789;0.6330275229357798;0.7203389830508474;0.7787610619469026;0.7155963302752294;0.6761904761904762;0.7372881355932204
bigram;False;True;False;False;False;False;False;False;False;comment;1.0;0.9907407407407407;1.0;0.9915254237288136;1.0;0.9917355371900827;0.9914529914529915;1.0;0.983739837398374;0.991304347826087
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6095238095238096;0.635593220338983;0.71;0.6126126126126126;0.6470588235294118;0.6476190476190476;0.75;0.6407766990291263;0.6203703703703703;0.7241379310344828
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.8636363636363636;0.9433962264150944;0.9043478260869565;0.8952380952380953;0.8898305084745762;0.9642857142857143;0.9279279279279279;0.9375;0.9256198347107438;0.944954128440367
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8727272727272727;0.897196261682243;0.8898305084745762;0.9043478260869565;0.8925619834710744;0.9313725490196079;0.8476190476190476;0.8918918918918919;0.8571428571428571;0.9345794392523364
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.9243697478991597;0.9245283018867925;0.8495575221238938;0.9009009009009009;0.8839285714285714;0.8584070796460177;0.9223300970873787;0.9272727272727272;0.9568965517241379;0.9509803921568627
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6;0.5803571428571429;0.7029702970297029;0.6363636363636364;0.6170212765957447;0.6106194690265486;0.5655737704918032;0.5849056603773585;0.5564516129032258;0.5229357798165137
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.9067796610169492;0.8918918918918919;0.9038461538461539;0.9262295081967213;0.9029126213592233;0.9009009009009009;0.9259259259259259;0.8962264150943396;0.9009009009009009;0.896
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.5943396226415094;0.68;0.6756756756756757;0.5789473684210527;0.6578947368421053;0.6851851851851852;0.5803571428571429;0.6101694915254238;0.5862068965517241;0.580952380952381
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7289719626168224;0.6545454545454545;0.6320754716981132;0.71;0.6666666666666666;0.6875;0.672566371681416;0.7592592592592593;0.6636363636363637;0.6666666666666666
bow;True;False;False;False;False;False;False;False;False;comment;0.5517241379310345;0.6637931034482759;0.6037735849056604;0.6557377049180327;0.5714285714285714;0.6929824561403509;0.6017699115044248;0.6285714285714286;0.6274509803921569;0.6956521739130435
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8813559322033898;0.95;0.8807339449541285;0.868421052631579;0.9029126213592233;0.9;0.900990099009901;0.8899082568807339;0.8738738738738738;0.905982905982906
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7272727272727273;0.7383177570093458;0.7264957264957265;0.7256637168141593;0.6854838709677419;0.6695652173913044;0.7181818181818181;0.7474747474747475;0.6779661016949152;0.7327586206896551
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6476190476190476;0.4954128440366973;0.6055045871559633;0.72;0.6914893617021277;0.616822429906542;0.5826086956521739;0.6306306306306306;0.7238095238095238;0.5648148148148148
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9821428571428571;0.9813084112149533;0.9918032786885246;0.9727272727272728;1.0;0.9803921568627451;0.9915966386554622;0.9830508474576272;0.9541284403669725;0.9813084112149533
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.9051724137931034;0.923728813559322;0.8455284552845529;0.9292035398230089;0.9152542372881356;0.9622641509433962;0.9210526315789473;0.9;0.8461538461538461;0.8807339449541285
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.6132075471698113;0.5471698113207547;0.5172413793103449;0.6101694915254238;0.591304347826087;0.5096153846153846;0.5583333333333333;0.5565217391304348;0.6981132075471698;0.5192307692307693
