cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.5909090909090909;0.625;0.625;0.616822429906542;0.6140350877192983;0.6698113207547169;0.672566371681416;0.6571428571428571;0.7289719626168224;0.6578947368421053
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6057692307692307;0.6583333333333333;0.6333333333333333;0.6881720430107527;0.646551724137931;0.5727272727272728;0.6181818181818182;0.6272727272727273;0.5877192982456141;0.6551724137931034
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.6666666666666666;0.7833333333333333;0.768;0.7368421052631579;0.7227722772277227;0.711864406779661;0.7217391304347827;0.7407407407407407;0.6481481481481481;0.7232142857142857
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7830188679245284;0.7964601769911505;0.8165137614678899;0.7570093457943925;0.7961165048543689;0.782608695652174;0.7563025210084033;0.7964601769911505;0.7083333333333334;0.8050847457627118
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.75;0.7456140350877193;0.7830188679245284;0.7333333333333333;0.7474747474747475;0.8691588785046729;0.8034188034188035;0.860655737704918;0.7870370370370371;0.794392523364486
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6666666666666666;0.6203703703703703;0.6271186440677966;0.6146788990825688;0.6842105263157895;0.6637931034482759;0.5982142857142857;0.6388888888888888;0.5652173913043478;0.625
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5846153846153846;0.6636363636363637;0.6039603960396039;0.6396396396396397;0.664;0.6396396396396397;0.5486725663716814;0.6415094339622641;0.6146788990825688;0.6601941747572816
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6310679611650486;0.5982142857142857;0.5675675675675675;0.6721311475409836;0.6111111111111112;0.5882352941176471;0.6486486486486487;0.5963302752293578;0.6140350877192983;0.6759259259259259
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9210526315789473;0.9444444444444444;0.9067796610169492;0.9074074074074074;0.9380530973451328;0.9009009009009009;0.8130841121495327;0.8761061946902655;0.9478260869565217;0.9278350515463918
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.9017857142857143;0.8738738738738738;0.8348623853211009;0.8596491228070176;0.859504132231405;0.9180327868852459;0.8461538461538461;0.8653846153846154;0.8543689320388349;0.8796296296296297
