cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;4.5329999923706055;4.5329999923706055;4.7170000076293945;4.7170000076293945;4.625;4.625;5.330000162124634;5.330000162124634;4.799000024795532;4.799000024795532
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;6.303999900817871;6.303999900817871;6.960999965667725;6.960999965667725;6.520999908447266;6.520999908447266;6.812000036239624;6.812000036239624;6.901000022888184;6.901000022888184
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;6.2230000495910645;6.2230000495910645;6.253999948501587;6.253999948501587;6.182000160217285;6.182000160217285;6.308000087738037;6.308000087738037;6.2209999561309814;6.2209999561309814
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;7.942000150680542;7.942000150680542;7.893999814987183;7.893999814987183;7.976999998092651;7.976999998092651;8.04099988937378;8.04099988937378;966.8990001678467;966.8990001678467
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;6.11299991607666;6.11299991607666;5.569000005722046;5.569000005722046;5.829999923706055;5.829999923706055;5.58899998664856;5.58899998664856;5.476000070571899;5.476000070571899
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;7.008000135421753;7.008000135421753;6.315000057220459;6.315000057220459;6.894000053405762;6.894000053405762;6.541000127792358;6.541000127792358;6.993000030517578;6.993000030517578
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;4.7209999561309814;4.7209999561309814;4.620000123977661;4.620000123977661;4.661999940872192;4.661999940872192;4.6499998569488525;4.6499998569488525;4.5259997844696045;4.5259997844696045
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;6.415999889373779;6.415999889373779;6.783999919891357;6.783999919891357;7.131999969482422;7.131999969482422;7.105000019073486;7.105000019073486;7.020999908447266;7.020999908447266
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;6.165999889373779;6.165999889373779;6.360999822616577;6.360999822616577;6.52400016784668;6.52400016784668;6.265000104904175;6.265000104904175;6.16700005531311;6.16700005531311
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;7.9079999923706055;7.9079999923706055;7.650000095367432;7.650000095367432;8.119999885559082;8.119999885559082;8.265000104904175;8.265000104904175;8.480999946594238;8.480999946594238
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;6.172999858856201;6.172999858856201;6.375999927520752;6.375999927520752;5.946000099182129;5.946000099182129;6.144999980926514;6.144999980926514;6.296000003814697;6.296000003814697
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;7.691999912261963;7.691999912261963;7.57699990272522;7.57699990272522;6.446000099182129;6.446000099182129;7.053999900817871;7.053999900817871;7.253000020980835;7.253000020980835
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;4.551000118255615;4.551000118255615;4.670000076293945;4.670000076293945;5.101999998092651;5.101999998092651;4.429999828338623;4.429999828338623;4.646000146865845;4.646000146865845
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;5.2209999561309814;5.2209999561309814;4.799999952316284;4.799999952316284;4.810999870300293;4.810999870300293;5.2200000286102295;5.2200000286102295;5.509999990463257;5.509999990463257
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;1.0780000686645508;1.0780000686645508;0.9639999866485596;0.9639999866485596;1.0550000667572021;1.0550000667572021;1.0329999923706055;1.0329999923706055;1.0520000457763672;1.0520000457763672
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.9530000686645508;0.9530000686645508;0.8769998550415039;0.8769998550415039;0.7439999580383301;0.7439999580383301;0.7220001220703125;0.7220001220703125;0.8220000267028809;0.8220000267028809
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;4.245000123977661;4.245000123977661;4.367000102996826;4.367000102996826;4.263999938964844;4.263999938964844;4.609999895095825;4.609999895095825;4.224999904632568;4.224999904632568
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;7.265000104904175;7.265000104904175;8.062999963760376;8.062999963760376;7.118000030517578;7.118000030517578;6.5290000438690186;6.5290000438690186;7.0980000495910645;7.0980000495910645
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;6.437999963760376;6.437999963760376;6.0320000648498535;6.0320000648498535;5.89900016784668;5.89900016784668;6.440999984741211;6.440999984741211;6.253000020980835;6.253000020980835
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;8.19100022315979;8.19100022315979;8.311000108718872;8.311000108718872;7.914000034332275;7.914000034332275;8.273000001907349;8.273000001907349;7.699000120162964;7.699000120162964
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;6.391999959945679;6.391999959945679;6.26200008392334;6.26200008392334;6.351000070571899;6.351000070571899;6.153000116348267;6.153000116348267;6.3500001430511475;6.3500001430511475
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;6.442999839782715;6.442999839782715;6.294000148773193;6.294000148773193;6.694000005722046;6.694000005722046;7.2170000076293945;7.2170000076293945;6.520999908447266;6.520999908447266
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;4.796000003814697;4.796000003814697;4.806000232696533;4.806000232696533;4.437999963760376;4.437999963760376;4.353999853134155;4.353999853134155;4.429999828338623;4.429999828338623
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;7.454999923706055;7.454999923706055;6.824000120162964;6.824000120162964;7.327999830245972;7.327999830245972;10.155999898910522;10.155999898910522;7.453999996185303;7.453999996185303
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;7.0;7.0;6.543000221252441;6.543000221252441;6.996000051498413;6.996000051498413;7.307000160217285;7.307000160217285;7.832000017166138;7.832000017166138
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;7.947999954223633;7.947999954223633;7.924000024795532;7.924000024795532;7.5970001220703125;7.5970001220703125;7.677999973297119;7.677999973297119;8.723999977111816;8.723999977111816
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;4.888000011444092;4.888000011444092;5.182999849319458;5.182999849319458;5.203999996185303;5.203999996185303;5.396999835968018;5.396999835968018;4.927000045776367;4.927000045776367
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;7.425000190734863;7.425000190734863;7.052999973297119;7.052999973297119;7.562999963760376;7.562999963760376;6.868000030517578;6.868000030517578;7.395000219345093;7.395000219345093
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;6.292999982833862;6.292999982833862;7.0299999713897705;7.0299999713897705;8.092999935150146;8.092999935150146;7.057999849319458;7.057999849319458;6.918999910354614;6.918999910354614
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;8.924999952316284;8.924999952316284;8.424000024795532;8.424000024795532;7.9730000495910645;7.9730000495910645;8.180999994277954;8.180999994277954;8.190000057220459;8.190000057220459
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;6.369999885559082;6.369999885559082;6.0950000286102295;6.0950000286102295;6.390000104904175;6.390000104904175;6.211999893188477;6.211999893188477;6.553999900817871;6.553999900817871
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;7.2820000648498535;7.2820000648498535;7.562000036239624;7.562000036239624;7.229000091552734;7.229000091552734;7.197999954223633;7.197999954223633;7.000999927520752;7.000999927520752
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;5.063999891281128;5.063999891281128;5.003000020980835;5.003000020980835;4.817999839782715;4.817999839782715;4.857999801635742;4.857999801635742;4.825000047683716;4.825000047683716
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;5.351999998092651;5.351999998092651;5.085000038146973;5.085000038146973;5.069999933242798;5.069999933242798;5.730000019073486;5.730000019073486;5.264000177383423;5.264000177383423
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9839999675750732;0.9839999675750732;1.0199999809265137;1.0199999809265137;1.0109999179840088;1.0109999179840088;1.0269999504089355;1.0269999504089355;1.065999984741211;1.065999984741211
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8300001621246338;0.8300001621246338;0.812000036239624;0.812000036239624;0.7760000228881836;0.7760000228881836;0.753000020980835;0.753000020980835;0.7300000190734863;0.7300000190734863
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;3.121000051498413;3.121000051498413;3.2699999809265137;3.2699999809265137;3.174999952316284;3.174999952316284;4.256999969482422;4.256999969482422;4.186000108718872;4.186000108718872
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;5.606000185012817;5.606000185012817;5.430000066757202;5.430000066757202;4.757999897003174;4.757999897003174;5.128000020980835;5.128000020980835;4.859999895095825;4.859999895095825
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;4.54800009727478;4.54800009727478;4.108999967575073;4.108999967575073;4.235999822616577;4.235999822616577;4.447999954223633;4.447999954223633;4.330999851226807;4.330999851226807
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;5.358000040054321;5.358000040054321;5.4649999141693115;5.4649999141693115;5.710999965667725;5.710999965667725;6.746000051498413;6.746000051498413;5.888999938964844;5.888999938964844
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;4.412999868392944;4.412999868392944;4.355000019073486;4.355000019073486;4.47599983215332;4.47599983215332;4.561000108718872;4.561000108718872;4.28600001335144;4.28600001335144
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;5.123000144958496;5.123000144958496;5.392000198364258;5.392000198364258;5.59499979019165;5.59499979019165;5.168999910354614;5.168999910354614;5.730999946594238;5.730999946594238
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;3.7200000286102295;3.7200000286102295;3.7319998741149902;3.7319998741149902;3.875;3.875;3.63700008392334;3.63700008392334;3.562999963760376;3.562999963760376
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;3.5820000171661377;3.5820000171661377;3.803999900817871;3.803999900817871;3.9700000286102295;3.9700000286102295;4.004999876022339;4.004999876022339;3.870000123977661;3.870000123977661
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.8580000400543213;0.8580000400543213;0.9060001373291016;0.9060001373291016;0.8589999675750732;0.8589999675750732;0.875999927520752;0.875999927520752;0.8350000381469727;0.8350000381469727
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6089999675750732;0.6089999675750732;0.6610000133514404;0.6610000133514404;0.687999963760376;0.687999963760376;0.7029998302459717;0.7029998302459717;0.6940000057220459;0.6940000057220459
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;4.671999931335449;4.671999931335449;4.5;4.5;4.429999828338623;4.429999828338623;4.386000156402588;4.386000156402588;4.765000104904175;4.765000104904175
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;6.799000024795532;6.799000024795532;6.322999954223633;6.322999954223633;5.858000040054321;5.858000040054321;5.924999952316284;5.924999952316284;6.1529998779296875;6.1529998779296875
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;5.486000061035156;5.486000061035156;6.066999912261963;6.066999912261963;6.127000093460083;6.127000093460083;6.628000020980835;6.628000020980835;6.251999855041504;6.251999855041504
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;7.400000095367432;7.400000095367432;7.5929999351501465;7.5929999351501465;7.486000061035156;7.486000061035156;7.491999864578247;7.491999864578247;7.425999879837036;7.425999879837036
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;5.875;5.875;5.835999965667725;5.835999965667725;5.565999984741211;5.565999984741211;5.648999929428101;5.648999929428101;5.539000034332275;5.539000034332275
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;6.750999927520752;6.750999927520752;6.187000036239624;6.187000036239624;6.375999927520752;6.375999927520752;6.461999893188477;6.461999893188477;6.500999927520752;6.500999927520752
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;4.4679999351501465;4.4679999351501465;5.0;5.0;4.490000009536743;4.490000009536743;7.2809998989105225;7.2809998989105225;5.620000123977661;5.620000123977661
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;4.979000091552734;4.979000091552734;4.585000038146973;4.585000038146973;5.021000146865845;5.021000146865845;4.888000011444092;4.888000011444092;4.827999830245972;4.827999830245972
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;1.249000072479248;1.249000072479248;1.0239999294281006;1.0239999294281006;1.0220000743865967;1.0220000743865967;0.9910001754760742;0.9910001754760742;1.0399999618530273;1.0399999618530273
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;1.0939998626708984;1.0939998626708984;0.687999963760376;0.687999963760376;0.7820000648498535;0.7820000648498535;0.7050001621246338;0.7050001621246338;0.8350000381469727;0.8350000381469727
