cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.75;0.27906976744186046;0.4067796610169491;5.601999998092651
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7307692307692307;0.4418604651162791;0.5507246376811594;8.44700002670288
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7142857142857143;0.3488372093023256;0.46875;8.75
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.6111111111111112;0.5116279069767442;0.5569620253164557;10.849999904632568
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.6111111111111112;0.5116279069767442;0.5569620253164557;7.319000005722046
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7307692307692307;0.4418604651162791;0.5507246376811594;8.60699987411499
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.75;0.27906976744186046;0.4067796610169491;6.073999881744385
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.72;0.4186046511627907;0.5294117647058824;6.724999904632568
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5396825396825397;0.7906976744186046;0.641509433962264;1.126000165939331
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5625;0.627906976744186;0.5934065934065934;0.8600001335144043
