cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.5571428571428572;0.9069767441860465;0.6902654867256638;9.441999912261963
bigram;False;True;False;False;False;False;False;False;False;comment;0.625;0.23255813953488372;0.3389830508474576;1.75
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6;0.8372093023255814;0.6990291262135923;14.151999950408936
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.58;0.6744186046511628;0.6236559139784946;13.841000080108643
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.5692307692307692;0.8604651162790697;0.6851851851851851;12.151000022888184
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.58;0.6744186046511628;0.6236559139784946;17.77500009536743
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.5633802816901409;0.9302325581395349;0.7017543859649124;10.837999820709229
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.58;0.6744186046511628;0.6236559139784946;12.414000034332275
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.5806451612903226;0.8372093023255814;0.6857142857142857;10.253000020980835
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6;0.8372093023255814;0.6990291262135923;13.051000118255615
bow;True;False;False;False;False;False;False;False;False;comment;0.5967741935483871;0.8604651162790697;0.7047619047619048;14.33299994468689
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.5538461538461539;0.8372093023255814;0.6666666666666666;13.812000036239624
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5571428571428572;0.9069767441860465;0.6902654867256638;9.072999954223633
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.5901639344262295;0.8372093023255814;0.6923076923076923;11.615000009536743
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6086956521739131;0.32558139534883723;0.4242424242424243;2.013000011444092
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5789473684210527;0.5116279069767442;0.5432098765432098;1.9249999523162842
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.5492957746478874;0.9069767441860465;0.6842105263157895;13.0
