cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.5894736842105263;0.8615384615384616;0.7;13.168999910354614
bigram;False;True;False;False;False;False;False;False;False;comment;0.7666666666666667;0.35384615384615387;0.48421052631578954;1.944000005722046
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.5955056179775281;0.8153846153846154;0.6883116883116883;19.248000144958496
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.6714285714285714;0.7230769230769231;0.6962962962962963;20.950999975204468
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.5934065934065934;0.8307692307692308;0.6923076923076923;15.816999912261963
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7014925373134329;0.7230769230769231;0.7121212121212122;19.83299994468689
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.5576923076923077;0.8923076923076924;0.6863905325443788;11.871999979019165
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7230769230769231;0.7230769230769231;0.7230769230769231;15.174000024795532
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.6022727272727273;0.8153846153846154;0.69281045751634;12.855999946594238
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6071428571428571;0.7846153846153846;0.6845637583892616;17.294999837875366
bow;True;False;False;False;False;False;False;False;False;comment;0.5842696629213483;0.8;0.6753246753246753;16.96499991416931
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.5833333333333334;0.8615384615384616;0.6956521739130435;14.200999975204468
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5894736842105263;0.8615384615384616;0.7;11.858000040054321
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6067415730337079;0.8307692307692308;0.7012987012987012;12.815999984741211
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9210526315789473;0.5384615384615384;0.6796116504854368;2.1130001544952393
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.75;0.6;0.6666666666666666;1.6579999923706055
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.5619047619047619;0.9076923076923077;0.6941176470588235;13.464999914169312
