id	processed_text
804084	It's great, got lots of shows, 5 stars
869576	Teacher Used the app to check on the status of my return. Information was received and processed quickly. I received my money exactly a week after filing.
425433	It was enjoyable and educative a good one.
855228	great way to send or receive money
1010397	the amount of ads is ridiculous.
371997	you can't do anything without having to pay 25 dollars a month! I only gave this app 1 star.
329345	its very awsome it works try it if you got kids with phones. #love this app!!!! just enter the your google account and your in!!!!!!!!!!!
501654	App is wonderful. Few complaints about the hardware. Get newer hardware, and tv remote doesn't power on/off.
39450	i don't trust this
49400	Unreliable! cannot find samsung wearable when connected by bluetooth to a samsung phone thats found by Galaxy Wearable app so its working. reset/reinstall dont help.
989583	want let me download the app cant get it all
467257	I have very good experience with tubi I really do appreciate them
582627	Without a doubt, the most confusing app ive ever used in my life. Amazon must have literally no design staff to launch something this obtuse and irrelevant for the task at hand. The most basic of tasks like changing wifi settings are impossible to find. Its constantly explaining how to do the most complex tasks i have no interest in using my echo to perform and leaves the important tasks indescribably hard. Terrible in every sense. The update for formalized what was already completely trash.
799770	PBS Kids Great app.
368863	terrible you have to pay for its just a scam
14474	Amazing! Normally I don't go for meditation apps because most are fake or don't work for me. As many times as I saw the ad on Facebook I can say, without a doubt, best app I've ever gotten!
852532	they stole 900 dollars from me
231119	Fun and challenging game!
1025199	ban the oders now!
748742	Great source of communication
174840	trying to pull up card. sick buying cold med n it forces me to update app.no option for later
580950	STOP WITH THE PURCHASE SPLASH SCREEN!!! I'm getting so tired of the iHeart app trying to upgrade to the paid for version... IT'S NOT HAPPENING! Make sure your play store settings require verification EVERY time for any purchase. This APP tries to jump to the purchase option every time it's opened. Over 100 times now I have told this app NO, but it won't stop.
1068956	this is very very super good game
457978	Absolute trash. I've been a member for a little over a year and the best it can do %90+ of the time is 480p. We have a 400 Mbps connection, no other devices using the account, nothing hogging bandwidth in the bkg. Hulu is the only app doing this too. I also had to dl this on mobile because there's no way to review an app on Android TV. It's too bad I can't post screenshots of the atrocious picture quality I'm always getting.
111651	App is great!
368698	this made me see how i look when im old
201364	because you can be a super player
826496	Really helping me prep for CPACE
190176	soft to play
24540	you can't use what you earn on Amazon or PayPal
341013	Evry minute the divice is getting disconnected, this wasnt before, plz resolve the matter
129299	This app was so ridiculously over price, that i simply cannit afford it. The first three introductions weren't very good. every now and then, the teacher would lose focus and talk about some random fact about what famous people said about meditating. its like, um... NO! I want to MEDITATE, not write a school report on it
517484	yes it was amazing. all the films are in X ray. I like that condition. this was also useful for buying things. I like the payment due that is 129 RS per month. we can experience so many movies. all the movies are in HD I like this.
327233	Great app! Unpaid version is pretty basic but serves all the purposes I require.
200883	it is a great game just too many ads like I can't play a game without seeing one
63168	have not tried it but im willing to
63888	Super easy to use and follow!
594078	The UI is not laid out in a way that is intuitive, much like Alexa herself. You have to think creatively and ask your questions 4 different ways in order to find things. Finding podcasts should be much easier and have some ability to make a playlist. The search function in general is terrible and often causes the app to crash.
588321	Best app ever, I got my new alexa and this helped a bunch!
406135	The option are amazing!
536868	background play is not available in free version,its better to use normal youtube instead of installing it.
189926	Bunnings and simulator server your one
459893	I do not like the new update as of 3/19/19. We are a strictly Hulu Live family. It has changed the shows we see to their line up (shows they are pushing) versus our previous lineup (shows we watch on a regular basis). We miss shows we would normally watch but we haven't added to ''my stuff '. Since we do not have cable, this has been a detrimental change for us.
113544	Might as well be a charm bracelet. The app keeps telling me my password is incorrect but I can log in on my computer with it. Tried restarting my phone, password, uninstalling then reinstalling the app and I still can't get logged in on my phone. It was working well until the last update but now it's kinda useless and customer support is even more useless. I'll revise if they can get it working again but otherwise I'm demanding my money back and going with one of their many competitors.
891765	so far ok. my 1st time using
244900	It was trash can never load into the game so if u try it be ready because it might not let u play the game if they fix it this qhould be better but until then im never geting it again
447402	so far i am really enjoying this app. only thing i think could be improved is the kids tv section. lots of thr oddball shows not a lot of the ones my little grandson likes I
118145	It's a crap thing.... Only to make money. Better spend time with family ... You'll feel happy, supported and all above you'll be satisfied.
42318	great app for counting steps everyday. set a target of 10k per day and saw the difference in my physic. helps me keep my weight in check!
222918	this is fun weeee dont die by leah
897261	Best customer service ever in an app. 10/10 recommend
507812	even better than the traditional remote
667632	Great app! Absolute must at colleague
1052242	I love it and my brother love it so so so much
535016	Update the change log
953201	The only thing that seems to be an issue is I cant always send or receive money from people who already has zelle. I get a message stating that they don't
836172	It is awsome
99055	It is great
231054	it's a relay good game
476918	I love all the movies even the new ones that come out stars is one of the best shows that can be on TV and on your cell phone
686490	works great for groups
508509	easy to use
875472	It actually works very well. I use it each year.
654148	I only use it on a desktop but I have experience with the app, enjoyable. I love the underground supporting movement
