id	comment
264	Besides the occasional crash, this is an amazing product with tons of potential depending on how you work with it!
111	This could be a great app if it was predictable, but it is full of bugs and is unpredictable.  if you are able to check in, take a screen shot of your boarding pass or print a backup copy, because you may not be able to access it when you need it most.
210	I can't open since the last 2 updates Pop-ups go crazy on the iPhone 5! I'm uninstalling
53	Use to love this app but it's not working after new update. Pages won't scroll up or down...none of the different tabs work...it's frozen! Please fix ASAP!!!
13	Urrrrm After my third re installing, it finally has scenery. Before hand, it was just black shapes everywhere. I could not even see the walls. This killed my internet as it is a very big game that takes half an hour to install - if you don't like the game, their is no chance of a refund. Once I finally got the proper game, it is very pretty with smooth graphics, an amazing sound track, and some of the best scenery I've ever seen on my tablet. In the next update, I want to be seeing the right installment first time, a chance of a refund, and free roam! Free roam was the best part of the old games, I would love to have it on my tablet! Thank you ?
83	This app serves its purpose for me perfectly except for the mobile deposit won't work. It keeps saying can't find endorsement. After calling PNC multiple times about this still no fix.
3	Album function needs improvement Current version opens up all possible folders which includ cache files which should be selectable from settings to avoid unnecessary browsing resulting low productivity.
337	I'm very disappointed that I can't open most excel files anymore! Repeated tries works occasionally but it should work every time!
1	"NEEDS TO BE UPDATED. Was Fun & Challenging. Desperately in need of an update. Paid for the Allie levels SEPTEMBER 1 and still no new levels- when is ""soon""?? No new levels of the week. No updates. Used to be a favorite..."
122	It's good if you want to browse but is horrible at letting me post anything. It stays frozen on signing in and I have to close the app.
229	Crash Crash Crash Crash Crash Get it!!!!!
323	Was great It was great until apparently it updated on the 27th and now every time I try to use it I get a message the it has stopped working and it force closes! Please fix!
340	The white app icon is so atrocious, I'm hiding it away in a new folder that I'm naming 'Ugly Apps' It will be joined by Photos and iBooks Some other Apple bloat-ware apps, like Game Center, Newsstand, and Passbook could go in too, but they'll just stay in my 'Crap!' folder instead
12	Would like it to have more edit items..
341	This use to be a great app on iOS 5 Having iOS 7 and the latest version of   Dropbox and it's really bad The new UI for viewing photos and video needs improvement to return to the way it was
265	The app was awesome until the latest update  I lost a weeks worth of class notes, can't even open the program without it crashing unless I'm connected to wifi, and a complete notebook just disappeared after the password reset  Everything was great before the update, now nothing works
272	After the last update it crashes Please fix!
217	I liked very much the upgrade to pdfs (divisions and search) However, they aren't displaying anymore Fix it and it will be perfect Best wishes
190	Can't update your latest bug fix
131	It says error to collect calls and it won't let me up date anything it needs to be fixed
11	ok seriously this app would be great if the timing adjustments weren't so erratic. i've made the same exact video a million times and it keeps coming out with an extra 2 seconds here or a bit shorter there throwing off the entire video/audio sync
222	The update has been installing for a week
67	I love the app but it's annoying cause when I use the premade hats they come half out with the middle half of the hat gone so I can't make what I want easily.
331	Effect Please fix some of your effect such as fattal because its become a different quality of picture when I want to save it Which means what I edit its not the same picture that I save Overall good Just on that part only
76	It's really slow and it always glitches up when I try to delete a stauts or somthing and I can't figure out how to delete pics or make new albums no me gusta
200	Can't use due to pop-up about push notifications Open iTunes and connect for notifications HATE IT!
96	Won't open. Keeps timing out. Don't waste your time till they fix the issues.
144	COME ON DROPBOX!!!! This is getting ridiculous! I've uninstalled and reinstalled and it's still stuck! Your customer service said this update would fix it!
95	So frustrated. Not responsive or sluggish. Cannot modify the city from which I want to rent. I give up.
100	Bookmarks do not work. Bookmark your favorite dispensary and it takes you to some other random place. The overall performance is buggy and crashes.
354	Recent upgrade is causing the app to crash on iPad Needs fixed I have tried to delete and reinstall but that didn't fix the problem
284	I like Trip Advisor, but their app is slow and feels buggy If you have the patience to navigate through its, um, 'quirks,' then you can get to their good info
305	Search doesn't work anymore After the update, the search function doesn't work It keeps putting 20's within the search so nothing comes up Please fix, otherwise the app is useless if I can't search for anything
17	Plz more backgrounds and frame
137	Did not work on my new iPhone 5s Only showed sliding logo's
293	Pretty good but glitches Wanted to use flight filters, but it wasn't applying them Had to start search over Haven't used it much yet
16	You need to improve the hebrew editing..
87	This app used to work so well...now it never works. Please fix. It keeps sending me warning messages.
54	It seems like a cool app from what I have been able to see. It crashes everytime I get it open. The free app got me hooked which never crashed. Get this fixed please and I will resubmit a review.
