id	comment
84	Can't open the apps Whenever I open the apps it shut down after few seconds. I tried uninstall and reinstall, and its the same. It was ok before the last update.
207	App runs too slow!!!
166	This is a great app. I've used ODB on my iPod Touch and then my iPhone before I got an iPad 2. Each version is more refined. I like the way that the app remembers my choice of Bible version (currently 'The Message') when I tap on the Scripture for the day. This isn't the case with the iPhone app. One always has to change the version from the default.  There are a couple formatting issue suggestions:  1. The poem at the bottom of the page is almost never formatted like the online website. It would be nice if the lines were stacked and not simply strung out in a row. 2. One of the things I've always enjoyed are the cover photos. The cover for the current month shows in the upper righthand corner, but there is no way to enlarge it. One would think that a simple double-tap could bring up the cover art full screen? 3. When traveling I don't always have a wifi link, so having issues cached is nice. In those instances I simply use my Bible app (or print version) to get the Scripture for the day. I don't expect (or want) ODB to cache the Scripture from Biblegateway.com on my device, but it would be nice if there was a way in the app set-up to direct the ODB app to my Olivetree app onboard for the Scripture of the day. May be too difficult for what is already an elegant app.  Keep up the good work!
147	I listen to it a lot. However, it will once in a while disconnect for no apparent reason. When it disconnects, it will repeat previous transmissions. I would like more APD and less Fire and Ambulance. Great app!
185	Easy to use. I wished it was able to determine what hole you were on.
199	I would of given it a 5 if I could pin on Pinterest from it.
69	Developers nd attention here. Aftr processing the quality of the picture gts dampened or turns bad... need to fix ths all
180	I just wish it would notify me if I go below a certain dollar amount
91	Keeps auto-deleting every 3 days This app is quite nice but ever since the last update it keeps auto deleting. I have re-installed it thrice including today. That is just wrong!
251	This is a very useful and helpful app In my opinion, the only thing it's missing is video handling You can add pictures and audio to your notes, and I think you should be able to add videos, too
92	Wont load I have been playin this for few weeks now all of sudden it wont load
15	Slow.Buggy It takes more than a minute to open a file which is opened within 10 seconds in polaris office-Tab 2-3100. Needs speed improvement. Edit: It shows only a blank white screen when we try to open some .doc files!!OMG Developers! I hope you have tested the file which I have sent to you.
31	Crashes since update Crashes whenever I go to the purchase coins section. Purchased coins but they dont show...
278	Dropbox is a great service However, when I use the camera upload option in iOS 7, it only uploads the original photo and not the edited one Otherwise, I'd rate dropbox as 5 stars
163	I have Day One on both my iOS devices, and my Mac. It just works beautifully, seamlessly, and smoothly.  Add simple photo function, and you'll rule the journal app world.   Five star!
50	Seems fun This seems like a fun game but keeps crashing whenever it goes to a new screen. I think it takes to much ram.
90	Love this game. But since the update it crashes every time I sink my first battle since update. I'm on the galaxy note 2. Please fix and I'll go back to 5 stars
54	Problems I signed out and tried to sign back in later and it says i have no pages to manage.
242	Can we get push notifications for other things being shared, besides just folders My bf is a photographer, he often sticks photos in our shared folder - would like a notification when things arrive (I do have them turned on but never get them)
165	This app is awesome and makes recording everything so easy, the only thing I can request is to make it compatible with iPads!
189	I also like WW Kitchen and often add my own recipes. It would be great if the two apps were integrated so if I added a recipe in WW Kitchen, I could pull it up in WW Mobile.
230	If we could create docs inside the app that would be great
51	Not good now game Game freezes don't know why please help can't get out of game
234	It's super easy to copy pictures to clipboard or even save them to your phone, but why can't I download my videos?
18	Sucks Forces close when trying to post on instagram
111	Nice update but still crash sometimes New updates now just fine...but still crashes sometime while playing especially at chapter 5 while fighting man o war on storm weather...force quit to home screen~ hope for the fixes
76	No sound. Google Nexus 7 2013  This is a 5 star game, otherwise. Fix the sound so I can change my rating.
171	Great app for news on demand. No wasted screens to navigate through. Would give it 5th star if there was a button to close the app. Love NPR!
89	Native crash when selecting the new ship Update: they fixed the 0 of 0 issue, but app got native crash when selecting the new ship... Pros: nice graphics, beautiful ocean simulation. Cons: no immersive mode for 4.4 devices, the game is a bit short and game mode/event is too simple, the battle gets a bit boring after a few hours.
10	"Ruined by DRM I tried to play it, but all I get is, 'Can't Access License Server"" - really?  DRM is destroying games on my mobile devices too??"
204	I love these quotes. Only wish the quotes could appear in my notifications area. I'd pay for a full version!
258	Great information is available  Wish maps (locations of newer hotels were updated more)  Also would love to have an individual resort map of all the resorts available to view  Would be great if age of property and renovation dates were included for hotels, too
99	Black screen on nexus 7 When the race starts the screen goes black. Can't see car or the track. Please help.
27	Game keeps crahing on me please fix.
194	Cool tool. Works fast. Smooth. Boring backgrounds. And it would be mice to be able to it the compass rose for a better look. But all in all very nice app. Thanks.
22	Sony xperia sp Sony xperia sp native resolution not supported
98	It would be good if.... It eould be good if the focus wasn't screwed up. Works fine on all the other camera apps except this one.  Focus set as macro acts like its set on auto, set as auto it acts as macro. And forGET it if its on night shot.
85	After the update, this game crashes after any battle. Please fix the problem!
274	Best gr8 Like it nice good job plz add more frame for free pack
93	Needs ART support Game was just updated today and still doesn't support ART runtime. Opens to main screen then force closes. Works fine on dalvik, but it is the only app I have that doesn't work on ART.  Once this problem has been addressed will update review and rating.
172	Simple enough to use and I love the recurring transactions. No more forgetting and figuring out how to balance my checkbook every month. The other reason I got the app is because it can export to Quickbooks although I have not used that feature yet. The reports are great. Would love to be able to have main categories and sub-categories. That's the only thing missing in my opinion to make this a truly robust stand-alone financial management app. Keep up the good work!
