id	comment	Positive	Negative
2450	Very good Fav app  Only bad thing is all the fakes Not good	3	-2
942	I use this app every day i love it i dont no what i do without it	3	-1
1731	Get it NOW	1	-1
1666	Enough said	1	-1
2276	Love it Perfect and so easy to use	3	-1
911	App hasn't worked in a month. That shows no effort in trying to fix this. You all failed.	1	-3
2563	Excellent Loved	5	-1
2123	Fun Love the creativity!	3	-1
2299	Best app ever Love it	3	-1
1960	Great Its great for texting with mates or friends always aware of the gossip its like a bbm put for android the thing is when I text and send I always make a mistake and wish I could take it back	3	-2
2352	Pinterest Love This	3	-1
812	This app is very useful!!! It helped me with things	4	-1
1767	Good	2	-1
679	Great app. Works on almost any course. No complaints at all.	3	-2
1579	As the title of this review states, this is probably the very best note-taking application available to the digital world Ever since I started to use it it has been wonderful! Each time I think I understand all it does I find a newer, cooler feature either on the Mac app or the iPadiPhone app I do a lot of research in grad school and this has been an amazing tool	3	-1
903	Great app for viewing weather.	3	-1
1340	great items. Fast, easy ordering. Love fab.	4	-1
1042	Very easy to use !!!	2	-1
1562	Would want to try and get anything done without it ever again  Amazing	3	-1
1632	I use Evernote every day for both work and personal note-taking glad the crash on launch was fixed so quickly! Would like to see complete parity (on formatting and some other features) between desktop and iPad versions, but it's getting really close	2	-1
1146	Who doesn't like a good deal every now & then? Usually something for everybody and easy user interface. Pretty thorough app	3	-1
1047	It was my best dictionary resource for 4 months, until it started crashing, and freezing, and ARRRRRRRGGG!!!	2	-1
1269	Super original application great!!!!!	4	-1
571	I love how it tests my brain!	3	-1
2179	Brilliant Good	2	-1
2307	Awesome! Love it from the gate If you're thinking rather you should or not - Just do it! You shall not be disappointed Big Brian - Clearwater,  FL	3	-1
2628	Great Great free app Does everything I need it to do for pictures I've taken on my phone	4	-1
646	The best App ever!!	2	-1
73	Rip off .. What comes basic in most quality editors, this app wants us to buy at up to  2 each totalling over  30.00!!!!?? what a rip off! It doesn't even have hue which I use more then any other filter. Highly dissatisfied! There are hundreds of editors in the play store plus most phones come with one that's fairly decent...  hit share to find yours.  Uninstalled.	2	-2
862	This app is the best!!! The screensavers are so mesmerizing and makes you think you are looking right outside!! I love it!!!	3	-1
2498	Done Best Photoshop I have ever used	2	-1
951	Gets better and better with every update. Thank you for this app. Much appreciated.	2	-1
1781	We have used trip adviser on the web for many years I'm so very glad this mobile app works just as well	3	-1
657	This app is just like the website, except you have to pick an area instead of having them laid out for you. I love this app and use it every day!	3	-1
2648	Meh Okay would reccomened but a little slow	1	-1
1325	This app was easy to use. I'm so glad I found it!	2	-1
2567	very good i love mariah carey	3	-1
1165	Stupid app	1	-2
735	This is a great app ...	3	-1
1894	Good thing to connect with friends I like it	2	-1
924	Solid, but weird volume settings,	1	-2
1625	It's more useful if you put everything into it	2	-1
2176	Pinterest I love this site	3	-1
1166	The concept is very interesting. For the most part it's very accurate at recognizing your hand-written numbers and operators entered for calculation. I would definitely recommend it.	3	-1
1606	Love this product	3	-1
2418	Excellent	4	-1
384	So far pretty good	3	-1
