id	comment
90	Still need to check each, I think I need to improve technique.  Cards with multiple addresses throw it for a loop.  Very easy to export to excel
233	This app is so helpful!!!! Truly amazing!!!! I just paid my bills from it
58	Awesome!!!
313	I love that this app takes less than ten seconds to let you know where your battery life is!!! I love it.
445	It's a app that you can do pretty much everything from making to do list to office papers It's great for people that are on the go and can store almost anything and have it in the palm of their hand
704	Awesome I love pinterest its a place where I can keep all the things I like and are interested in, in one place
99	It's easy to use. Keeps the battery conditioned for sure.
9	Funny Funny and exciting app. You can can have new way of expressing yourself and you can make fun with others photos..
558	This is a great app for planning a trip If wanting to go somewhere definitely use this!! It is helped me find restaurants in cities I've never been and great deals on flights and hotels Totally worth it to download
283	Great app, huge selection of titles, and great free section with plenty of releases semi-monthly/monthly. Only problem is the viewer occaisonally hangs up but not often and restarting the app usually remedies this. Overall, one of the best apps in the entire app store.
659	Easy to use and very accurate I always go to trip advisor to see opinions whether the are good reviews or not Thanks for the great app
196	"I have used this on countless occasions now. It has come in handy, and when I do use it the other party is as ""wowd"" as I was the first time. I gave 4 stars because the speech is a bit quirky (may be iPhone speech recognitions problems) and because it is a translator it breaks a sentence down funny. But, if you type or talk like a caveman it gets the point across every time. Overall very pleased with this for just a buck!"
223	Many options, easy to use, show it off on instagram and Facebook!
38	Great app to have for tracking flights! I own a limousine company & all my drivers use it to track their clients flights.
370	Great app! Works great with my playlists! Wish it worked with Pandora! Definitely not worth paying for the pay version of C25k because this up to date.
81	I am a very superstitious person. I love any kind of ghost story. Short, Long, or a book. But this app has everything from short stories to long. Definitely worth the $$
600	Love that you can save your stops on a trip for easy reference We've really benefitted from using Trip Advisor and loce the ease of access that comes with the app
305	Couldn't be better really, with options to copy results and also send via text/email..  would like to see an option for viewing results full-screen, sometimes the end gets cut off.. but it still copies/pastes all of it so it's cool ;)
545	even with the latest glitches, evernote is  still one of the only apps on my phone i use daily best program to keep up with my life, super glad it is on the iphone!
230	I fell in love with this app in 2009 when I was in San Fran for the first time. With this app, we found a wonderful restaurant right around the corner and wouldn't have known to go there otherwise. I generally don't eat anywhere less than 80%. Good job team, very useful info!
295	It's like a mix of texting and talking, but better!!!!!!!!!!!!!!!!!!!!!! I love it!!!!!!!!!!!!!!!
19	Easy to find songs and purchase in iTunes.
157	I learned so much about the bones??
267	Great news know you can get all the breaking news as it happens with CNN on your iPhone!!
112	I've bee using EveryTrail.com for years - loving its ease and look for uploading my rides and embedding the maps on my blog. I used the free app for a long time, until recently on a trip I needed to find a trail and download it to use offline. Enter EveryTrail Pro. This app has practically replaced my GPS unit. I adjust the GPS settings to extend battery life and I can go on epic rides and still have power to text my buddies photos from the trail. I highly recommend it for on the fly trail mapping needs. Worth every penny.
361	"Love that this app has ""real time"" temp reading on the home screen, so there is no need to open app entirely to view the current temp!"
59	Need more for finding rental HOUSES. But great other than that!
455	I have over 200 notes in Evernote (verified in the Mac version and on Evernotecom), but only 4 of them appeared in the new version of this app until I deleted and reinstalled it Logging out and logging back in didn't work The new UI will take some getting used to but feels cleaner and faster than before
298	I love having my books with my everywhere I go.
400	Simple to use And the voice recognition is great!
176	Without this its literally impossible to play music on my Xbox! Thanks! Happy birthday  ??
430	Good app for noting but too expensive to use it for poor students  60mb is not enoughcould you make it more plz ?
666	Love it Excellent app Easiest way to keep in touch with my close and dear Cheers
